axis,axis_value,metric,direction,null,observed_mean,observed_ci_low,observed_ci_high,null_mean,null_ci_low,null_ci_high,paired_superiority,paired_p_value,standardized_separation,n_splits
latent_dim,16,acceleration_direction_cosine,higher,block_shuffle_16,0.5767581299629163,0.5464076076012986,0.605865004937094,-0.004122636133720572,-0.08653158994057424,0.07272074610345514,1.0,0.009900990099009901,18.061284227745652,100
latent_dim,16,acceleration_direction_cosine,higher,circular_shift,0.5767581299629163,0.5464076076012986,0.605865004937094,0.0019720503149013593,-0.051100421427616095,0.060110208159346694,1.0,0.009900990099009901,24.19657674312724,100
latent_dim,16,acceleration_direction_cosine,higher,condition_shuffle,0.5767581299629163,0.5464076076012986,0.605865004937094,0.011787446418465011,-0.02255552805205869,0.044907804927261055,1.0,0.009900990099009901,34.54568030942218,100
latent_dim,16,acceleration_direction_cosine,higher,independent_neuron_shift,0.5767581299629163,0.5464076076012986,0.605865004937094,-0.0017481553227306579,-0.050299575502987505,0.05219856735391308,1.0,0.009900990099009901,27.670244581888717,100
latent_dim,16,acceleration_direction_cosine,higher,time_reversal,0.5767581299629163,0.5464076076012986,0.605865004937094,0.04942418016434634,0.035023762563998556,0.0683016694815425,1.0,0.009900990099009901,46.22715048821037,100
latent_dim,16,best_lag_correlation,higher,block_shuffle_16,0.8628739578995516,0.8328219599470592,0.8856762196097009,0.3347426367647289,0.24726091917430504,0.44182052373010994,1.0,0.009900990099009901,13.872614667261784,100
latent_dim,16,best_lag_correlation,higher,circular_shift,0.8628739578995516,0.8328219599470592,0.8856762196097009,0.23341042479397228,0.16022051148498492,0.3156892885726499,1.0,0.009900990099009901,22.377877867464132,100
latent_dim,16,best_lag_correlation,higher,condition_shuffle,0.8628739578995516,0.8328219599470592,0.8856762196097009,0.028714947380522757,-0.04317362130559498,0.10919295072590383,1.0,0.009900990099009901,27.97054815329746,100
latent_dim,16,best_lag_correlation,higher,independent_neuron_shift,0.8628739578995516,0.8328219599470592,0.8856762196097009,0.42978792263091287,0.3955981230818459,0.46940949796954723,1.0,0.009900990099009901,25.37753909189102,100
latent_dim,16,best_lag_correlation,higher,time_reversal,0.8628739578995516,0.8328219599470592,0.8856762196097009,0.24947120263522177,0.23923536019842562,0.25785015286548313,1.0,0.009900990099009901,62.75180031696116,100
latent_dim,16,normalized_position_rmse,lower,block_shuffle_16,0.5467069354536194,0.4976859781261683,0.6067766233742663,1.189101970990115,1.093335229922577,1.2988897202980059,1.0,0.009900990099009901,14.933680651224101,100
latent_dim,16,normalized_position_rmse,lower,circular_shift,0.5467069354536194,0.4976859781261683,0.6067766233742663,1.3086427146478206,1.1990620045659706,1.4008882655072161,1.0,0.009900990099009901,17.586744185118253,100
latent_dim,16,normalized_position_rmse,lower,condition_shuffle,0.5467069354536194,0.4976859781261683,0.6067766233742663,1.4456500377460781,1.3335093194777305,1.5561582364954747,1.0,0.009900990099009901,18.93752272094173,100
latent_dim,16,normalized_position_rmse,lower,independent_neuron_shift,0.5467069354536194,0.4976859781261683,0.6067766233742663,0.9842957298401968,0.9411474598611708,1.0251434038016962,1.0,0.009900990099009901,15.800535905264981,100
latent_dim,16,normalized_position_rmse,lower,time_reversal,0.5467069354536194,0.4976859781261683,0.6067766233742663,1.2849607418458615,1.2144890757605933,1.3711723822581505,1.0,0.009900990099009901,18.65774966857102,100
latent_dim,16,path_length_similarity,higher,block_shuffle_16,0.9445503754608392,0.8684792727356568,0.997009177069822,0.8648972172418575,0.7442713505349564,0.9868219589827179,0.87,0.13861386138613863,1.5214876379075424,100
latent_dim,16,path_length_similarity,higher,circular_shift,0.9445503754608392,0.8684792727356568,0.997009177069822,0.9418022393037612,0.8596169574188363,0.9954446373155228,0.61,0.39603960396039606,0.06830455761229544,100
latent_dim,16,path_length_similarity,higher,condition_shuffle,0.9445503754608392,0.8684792727356568,0.997009177069822,0.8774329963047358,0.7581960242667891,0.991722851791018,0.82,0.18811881188118812,1.2316615657039427,100
latent_dim,16,path_length_similarity,higher,independent_neuron_shift,0.9445503754608392,0.8684792727356568,0.997009177069822,0.628774052053782,0.5466770736712547,0.7084945329512573,1.0,0.009900990099009901,7.717958396978595,100
latent_dim,16,path_length_similarity,higher,time_reversal,0.9445503754608392,0.8684792727356568,0.997009177069822,0.9448002287214239,0.8671399895646055,0.997137265688994,0.41,0.594059405940594,-0.006429925589384864,100
latent_dim,16,position_correlation,higher,block_shuffle_16,0.8537832659338654,0.8217092903764368,0.8781238525689843,0.2462038513275693,0.15026972122362878,0.35267708810816023,1.0,0.009900990099009901,15.466980647946782,100
latent_dim,16,position_correlation,higher,circular_shift,0.8537832659338654,0.8217092903764368,0.8781238525689843,0.1451329761723517,0.07075179166998381,0.22695374169620056,1.0,0.009900990099009901,23.50307017621685,100
latent_dim,16,position_correlation,higher,condition_shuffle,0.8537832659338654,0.8217092903764368,0.8781238525689843,-0.038327339842194046,-0.11213546289594649,0.05134468164337614,1.0,0.009900990099009901,27.82947195614424,100
latent_dim,16,position_correlation,higher,independent_neuron_shift,0.8537832659338654,0.8217092903764368,0.8781238525689843,0.3558008713313415,0.31606588417565806,0.41359494346520004,1.0,0.009900990099009901,24.99363707021654,100
latent_dim,16,position_correlation,higher,time_reversal,0.8537832659338654,0.8217092903764368,0.8781238525689843,0.1797061363653728,0.1712924047947187,0.1868708803601342,1.0,0.009900990099009901,65.58468603825554,100
latent_dim,16,position_cosine,higher,block_shuffle_16,0.8391047312813543,0.8109549733210331,0.8613201022220383,0.306784485956224,0.2246364748852177,0.4090210147679305,1.0,0.009900990099009901,14.49866740743792,100
latent_dim,16,position_cosine,higher,circular_shift,0.8391047312813543,0.8109549733210331,0.8613201022220383,0.20416758937418675,0.12653633663897917,0.29055104994742337,1.0,0.009900990099009901,20.435166489105356,100
latent_dim,16,position_cosine,higher,condition_shuffle,0.8391047312813543,0.8109549733210331,0.8613201022220383,-0.03514267066297076,-0.10498539456001592,0.060316573130017814,1.0,0.009900990099009901,27.35895552115265,100
latent_dim,16,position_cosine,higher,independent_neuron_shift,0.8391047312813543,0.8109549733210331,0.8613201022220383,0.39174319749109027,0.35056654470115955,0.4292443748669433,1.0,0.009900990099009901,26.10287750521194,100
latent_dim,16,position_cosine,higher,time_reversal,0.8391047312813543,0.8109549733210331,0.8613201022220383,0.2617309080765893,0.25033428179070893,0.2735049816232388,1.0,0.009900990099009901,60.63755173091296,100
latent_dim,16,speed_profile_correlation,higher,block_shuffle_16,0.7935144926221832,0.7220112312086977,0.8588011336024672,0.29413761554413936,0.1444036843643476,0.41140917944466726,1.0,0.009900990099009901,8.823941661291217,100
