axis,axis_value,metric,direction,null,observed_mean,observed_ci_low,observed_ci_high,null_mean,null_ci_low,null_ci_high,paired_superiority,paired_p_value,standardized_separation,n_splits
random_seed,2718,acceleration_direction_cosine,higher,block_shuffle_16,0.6040069300812086,0.5673995427236457,0.6427955940215054,-0.0022138507814897703,-0.09066429066528256,0.10028290539211689,1.0,0.009900990099009901,15.667627256886487,100
random_seed,2718,acceleration_direction_cosine,higher,circular_shift,0.6040069300812086,0.5673995427236457,0.6427955940215054,-0.003023420982878361,-0.07932534782111418,0.08678792968607316,1.0,0.009900990099009901,17.758595430113633,100
random_seed,2718,acceleration_direction_cosine,higher,condition_shuffle,0.6040069300812086,0.5673995427236457,0.6427955940215054,-0.005910975853769805,-0.08659025969175307,0.07052554323493007,1.0,0.009900990099009901,19.277403065339804,100
random_seed,2718,acceleration_direction_cosine,higher,independent_neuron_shift,0.6040069300812086,0.5673995427236457,0.6427955940215054,-0.001387965936507969,-0.08263169535394613,0.09346445630914217,1.0,0.009900990099009901,17.361675456997073,100
random_seed,2718,acceleration_direction_cosine,higher,time_reversal,0.6040069300812086,0.5673995427236457,0.6427955940215054,0.08747419418046248,0.06132812091320238,0.11680987564088684,1.0,0.009900990099009901,28.914840013882504,100
random_seed,2718,best_lag_correlation,higher,block_shuffle_16,0.8654261610689428,0.8350200037667724,0.8978468739618003,0.3135697806880828,0.1802731247082385,0.4525616764645286,1.0,0.009900990099009901,11.30514380202594,100
random_seed,2718,best_lag_correlation,higher,circular_shift,0.8654261610689428,0.8350200037667724,0.8978468739618003,0.20944457671781927,0.11066236176247256,0.30818506309991434,1.0,0.009900990099009901,16.528458256646843,100
random_seed,2718,best_lag_correlation,higher,condition_shuffle,0.8654261610689428,0.8350200037667724,0.8978468739618003,-0.006270055397527292,-0.10968824571076533,0.12361854367570305,1.0,0.009900990099009901,17.74508540824694,100
random_seed,2718,best_lag_correlation,higher,independent_neuron_shift,0.8654261610689428,0.8350200037667724,0.8978468739618003,0.42517315861502064,0.36688573304101507,0.4943702973258049,1.0,0.009900990099009901,16.570415186941204,100
random_seed,2718,best_lag_correlation,higher,time_reversal,0.8654261610689428,0.8350200037667724,0.8978468739618003,0.2519954674901356,0.2372399857091995,0.267994403151224,1.0,0.009900990099009901,43.835440471571474,100
random_seed,2718,normalized_position_rmse,lower,block_shuffle_16,0.5335497447220799,0.46209396022456584,0.6169224555972644,1.1937196971959199,1.0761504360752663,1.3216336617291282,1.0,0.009900990099009901,11.871154377468326,100
random_seed,2718,normalized_position_rmse,lower,circular_shift,0.5335497447220799,0.46209396022456584,0.6169224555972644,1.3113560580703316,1.1726135156068005,1.4453284572392753,1.0,0.009900990099009901,14.183566317443388,100
random_seed,2718,normalized_position_rmse,lower,condition_shuffle,0.5335497447220799,0.46209396022456584,0.6169224555972644,1.4515217799589173,1.322286902735259,1.5875129555838667,1.0,0.009900990099009901,16.162522974178703,100
random_seed,2718,normalized_position_rmse,lower,independent_neuron_shift,0.5335497447220799,0.46209396022456584,0.6169224555972644,0.9619026154160067,0.9137328724577329,1.0124161378066991,1.0,0.009900990099009901,12.131312746324989,100
random_seed,2718,normalized_position_rmse,lower,time_reversal,0.5335497447220799,0.46209396022456584,0.6169224555972644,1.2490976666955285,1.164742169552151,1.3531612018307577,1.0,0.009900990099009901,15.968971918404488,100
random_seed,2718,path_length_similarity,higher,block_shuffle_16,0.941796643757728,0.847144667292509,0.9944652483338586,0.8228942336443373,0.7143312076620193,0.9512463727170513,0.94,0.06930693069306931,2.1901039497531034,100
random_seed,2718,path_length_similarity,higher,circular_shift,0.941796643757728,0.847144667292509,0.9944652483338586,0.9370100367823295,0.8276655645991592,0.9953505453015284,0.63,0.37623762376237624,0.10939734797676248,100
random_seed,2718,path_length_similarity,higher,condition_shuffle,0.941796643757728,0.847144667292509,0.9944652483338586,0.8581357920028496,0.7115736175905241,0.9880531153878526,0.81,0.19801980198019803,1.325470723433787,100
random_seed,2718,path_length_similarity,higher,independent_neuron_shift,0.941796643757728,0.847144667292509,0.9944652483338586,0.5431767096725173,0.47223927325524107,0.635733867309011,1.0,0.009900990099009901,9.401151203103781,100
random_seed,2718,path_length_similarity,higher,time_reversal,0.941796643757728,0.847144667292509,0.9944652483338586,0.9424172304454588,0.8493776880056356,0.9941342545658981,0.4,0.6039603960396039,-0.014713217737345585,100
random_seed,2718,position_correlation,higher,block_shuffle_16,0.8621740928321597,0.830742184214699,0.89569362475674,0.24941284554534848,0.11137079053129373,0.4148782111088374,1.0,0.009900990099009901,12.333038417962314,100
