split,null,metric,value
2,circular_shift,position_correlation,0.11558860877994666
2,circular_shift,position_cosine,0.1508922121203702
2,circular_shift,normalized_position_rmse,1.3210552082483569
2,circular_shift,velocity_direction_cosine,0.005507098383766926
2,circular_shift,speed_profile_correlation,0.047137647281749996
2,circular_shift,path_length_similarity,0.9999599875680628
2,circular_shift,acceleration_direction_cosine,0.038349771221776324
2,circular_shift,zero_lag_correlation,0.13136528237970857
2,circular_shift,best_lag_correlation,0.13330867557469298
2,time_reversal,position_correlation,0.20732375306052686
2,time_reversal,position_cosine,0.22381883433876926
2,time_reversal,normalized_position_rmse,1.252352724272911
2,time_reversal,velocity_direction_cosine,0.08022236688921477
2,time_reversal,speed_profile_correlation,0.13148729221155922
2,time_reversal,path_length_similarity,0.9811738677451728
2,time_reversal,acceleration_direction_cosine,0.0871113839123371
2,time_reversal,zero_lag_correlation,0.22147198957551711
2,time_reversal,best_lag_correlation,0.22285098384187618
2,independent_neuron_shift,position_correlation,0.32859552441462636
2,independent_neuron_shift,position_cosine,0.3488134605608
2,independent_neuron_shift,normalized_position_rmse,0.986557717913904
2,independent_neuron_shift,velocity_direction_cosine,-0.03214976080324646
2,independent_neuron_shift,speed_profile_correlation,0.2470914395881151
2,independent_neuron_shift,path_length_similarity,0.500975941745507
2,independent_neuron_shift,acceleration_direction_cosine,-0.04038621223268834
2,independent_neuron_shift,zero_lag_correlation,0.34594513278848615
2,independent_neuron_shift,best_lag_correlation,0.394752144074269
2,block_shuffle_16,position_correlation,0.25476873698777425
2,block_shuffle_16,position_cosine,0.2898292324556924
2,block_shuffle_16,normalized_position_rmse,1.1810138923825375
2,block_shuffle_16,velocity_direction_cosine,0.03569668161884209
2,block_shuffle_16,speed_profile_correlation,0.242567261114287
2,block_shuffle_16,path_length_similarity,0.8371904489581877
2,block_shuffle_16,acceleration_direction_cosine,0.012405858338893168
2,block_shuffle_16,zero_lag_correlation,0.26870502850513817
2,block_shuffle_16,best_lag_correlation,0.2712245567308464
3,condition_shuffle,position_correlation,0.10327441337145692
3,condition_shuffle,position_cosine,0.13029167559334942
3,condition_shuffle,normalized_position_rmse,1.3127334150786731
3,condition_shuffle,velocity_direction_cosine,0.04667081992668624
3,condition_shuffle,speed_profile_correlation,0.06079906726923143
3,condition_shuffle,path_length_similarity,0.9902448512165367
3,condition_shuffle,acceleration_direction_cosine,0.011214897524990303
3,condition_shuffle,zero_lag_correlation,0.11858727748066718
3,condition_shuffle,best_lag_correlation,0.13795575232277354
3,circular_shift,position_correlation,0.12130094107665429
3,circular_shift,position_cosine,0.1643486392151686
3,circular_shift,normalized_position_rmse,1.2950772941235926
3,circular_shift,velocity_direction_cosine,-0.03904577040226802
3,circular_shift,speed_profile_correlation,0.1705999582868787
3,circular_shift,path_length_similarity,0.962242221539955
3,circular_shift,acceleration_direction_cosine,-0.06859997168797594
3,circular_shift,zero_lag_correlation,0.1363053653058443
3,circular_shift,best_lag_correlation,0.2068777334189873
3,time_reversal,position_correlation,0.18287333163590255
3,time_reversal,position_cosine,0.19985302980955877
3,time_reversal,normalized_position_rmse,1.2526011710045413
3,time_reversal,velocity_direction_cosine,0.0822691308633346
3,time_reversal,speed_profile_correlation,0.11093679813248727
3,time_reversal,path_length_similarity,0.945890538236505
3,time_reversal,acceleration_direction_cosine,0.08632096157099299
3,time_reversal,zero_lag_correlation,0.19697564422595415
3,time_reversal,best_lag_correlation,0.20537640343344007
3,independent_neuron_shift,position_correlation,0.35258584827560224
3,independent_neuron_shift,position_cosine,0.3671090910393733
3,independent_neuron_shift,normalized_position_rmse,0.9725370205543711
3,independent_neuron_shift,velocity_direction_cosine,-0.04231454629357372
3,independent_neuron_shift,speed_profile_correlation,0.33531980913326054
3,independent_neuron_shift,path_length_similarity,0.5253776302239948
3,independent_neuron_shift,acceleration_direction_cosine,-0.03073694389564881
3,independent_neuron_shift,zero_lag_correlation,0.3728617444286306
3,independent_neuron_shift,best_lag_correlation,0.3969071938422826
3,block_shuffle_16,position_correlation,0.20600536748045037
3,block_shuffle_16,position_cosine,0.2982196561343078
3,block_shuffle_16,normalized_position_rmse,1.2008227649297847
3,block_shuffle_16,velocity_direction_cosine,-0.0650728917602339
3,block_shuffle_16,speed_profile_correlation,0.15523705193601414
3,block_shuffle_16,path_length_similarity,0.8270492700032379
3,block_shuffle_16,acceleration_direction_cosine,-0.07300102840211153
3,block_shuffle_16,zero_lag_correlation,0.22063861680369437
3,block_shuffle_16,best_lag_correlation,0.3035020707643135
4,condition_shuffle,position_correlation,0.031154813325890488
4,condition_shuffle,position_cosine,0.05636052521281854
4,condition_shuffle,normalized_position_rmse,1.4573536045668274
