axis,axis_value,metric,direction,null,observed_mean,observed_ci_low,observed_ci_high,null_mean,null_ci_low,null_ci_high,paired_superiority,split_null_failures,split_null_failure_rate,standardized_separation,n_splits
neuron_count,256,acceleration_direction_cosine,higher,block_shuffle_16,0.5370585323081964,0.5041961637111294,0.5799006931666064,-0.008074789739429341,-0.15058875819244016,0.10095609720184515,1.0,0,0.0,11.689911643945202,100
neuron_count,256,acceleration_direction_cosine,higher,circular_shift,0.5370585323081964,0.5041961637111294,0.5799006931666064,0.013246300732026223,-0.06848542820888315,0.10590241972063198,1.0,0,0.0,15.481844840304163,100
neuron_count,256,acceleration_direction_cosine,higher,condition_shuffle,0.5370585323081964,0.5041961637111294,0.5799006931666064,0.016550195476455063,-0.059853968006040335,0.11908064621020494,1.0,0,0.0,14.14592824107512,100
neuron_count,256,acceleration_direction_cosine,higher,independent_neuron_shift,0.5370585323081964,0.5041961637111294,0.5799006931666064,-0.012509235126452918,-0.10501598744897025,0.08293261447394736,1.0,0,0.0,14.40482042977712,100
neuron_count,256,acceleration_direction_cosine,higher,time_reversal,0.5370585323081964,0.5041961637111294,0.5799006931666064,0.09741525641468105,0.06364254950423211,0.1285487431075622,1.0,0,0.0,22.05040910536706,100
neuron_count,256,best_lag_correlation,higher,block_shuffle_16,0.8442221175104817,0.7982592269510872,0.8792248147518237,0.28414793323087506,0.16550146549219197,0.44891068132380724,1.0,0,0.0,10.368145641129887,100
neuron_count,256,best_lag_correlation,higher,circular_shift,0.8442221175104817,0.7982592269510872,0.8792248147518237,0.15964761981998188,0.06396325076073588,0.26776016936022545,1.0,0,0.0,16.361454394570533,100
neuron_count,256,best_lag_correlation,higher,condition_shuffle,0.8442221175104817,0.7982592269510872,0.8792248147518237,-0.013147114836774833,-0.11820008682350111,0.07754169746762864,1.0,0,0.0,21.43950444957994,100
neuron_count,256,best_lag_correlation,higher,independent_neuron_shift,0.8442221175104817,0.7982592269510872,0.8792248147518237,0.34537564019543493,0.27123066178136035,0.42710953431410864,1.0,0,0.0,14.498432468180164,100
neuron_count,256,best_lag_correlation,higher,time_reversal,0.8442221175104817,0.7982592269510872,0.8792248147518237,0.22745084855138223,0.2066804480495009,0.24914171729711723,1.0,0,0.0,34.625668663152986,100
neuron_count,256,normalized_position_rmse,lower,block_shuffle_16,0.5670850430618332,0.48405163381797944,0.6654139468053679,1.205868438886285,1.0550008180283532,1.3442611619202152,1.0,0,0.0,10.40853561056602,100
neuron_count,256,normalized_position_rmse,lower,circular_shift,0.5670850430618332,0.48405163381797944,0.6654139468053679,1.3387446157574872,1.2320659568966867,1.4474725599715466,1.0,0,0.0,14.086922668116495,100
neuron_count,256,normalized_position_rmse,lower,condition_shuffle,0.5670850430618332,0.48405163381797944,0.6654139468053679,1.4434922957403529,1.3348863004807177,1.5750646407042788,1.0,0,0.0,15.544895052752981,100
neuron_count,256,normalized_position_rmse,lower,independent_neuron_shift,0.5670850430618332,0.48405163381797944,0.6654139468053679,1.024420902799771,0.9539782160121046,1.1031461599722987,1.0,0,0.0,10.333129427595436,100
neuron_count,256,normalized_position_rmse,lower,time_reversal,0.5670850430618332,0.48405163381797944,0.6654139468053679,1.2518137461276484,1.1683024937512136,1.3341996871726447,1.0,0,0.0,14.496937723676744,100
neuron_count,256,path_length_similarity,higher,block_shuffle_16,0.9404376024386578,0.8553461297026538,0.9968662847213707,0.8484811594885671,0.7363276887350266,0.9711900791108091,0.91,9,0.09,1.770007176571742,100
neuron_count,256,path_length_similarity,higher,circular_shift,0.9404376024386578,0.8553461297026538,0.9968662847213707,0.9326131641884545,0.8400775641513131,0.995859871816663,0.68,32,0.32,0.1952938320807354,100
neuron_count,256,path_length_similarity,higher,condition_shuffle,0.9404376024386578,0.8553461297026538,0.9968662847213707,0.8623349480851996,0.7440387016644597,0.9850873347078501,0.85,15,0.15,1.3953718178728856,100
neuron_count,256,path_length_similarity,higher,independent_neuron_shift,0.9404376024386578,0.8553461297026538,0.9968662847213707,0.6816827561050502,0.5939567837795566,0.7798786714570631,1.0,0,0.0,5.7559550554385135,100
neuron_count,256,path_length_similarity,higher,time_reversal,0.9404376024386578,0.8553461297026538,0.9968662847213707,0.9408207042630241,0.8563650995496875,0.9984259739092434,0.46,54,0.54,-0.010055777677144445,100
neuron_count,256,position_correlation,higher,block_shuffle_16,0.8437469756725869,0.797226065946031,0.878792837090224,0.23270055672040127,0.12778234229980817,0.36218762666299914,1.0,0,0.0,12.257741234902273,100
neuron_count,256,position_correlation,higher,circular_shift,0.8437469756725869,0.797226065946031,0.878792837090224,0.1079763653409459,0.02788577070165289,0.20198594645458126,1.0,0,0.0,19.048563154419902,100
neuron_count,256,position_correlation,higher,condition_shuffle,0.8437469756725869,0.797226065946031,0.878792837090224,-0.030841822667695848,-0.12555717864833407,0.05409184945611865,1.0,0,0.0,22.33726455460508,100
neuron_count,256,position_correlation,higher,independent_neuron_shift,0.8437469756725869,0.797226065946031,0.878792837090224,0.304022066336449,0.22835439893663179,0.38801372028641906,1.0,0,0.0,15.198371073711314,100
neuron_count,256,position_correlation,higher,time_reversal,0.8437469756725869,0.797226065946031,0.878792837090224,0.22501132334587257,0.20438463303266505,0.2467728173983596,1.0,0,0.0,34.617959156813434,100
neuron_count,256,position_cosine,higher,block_shuffle_16,0.7752989612271793,0.7331384848188756,0.8184521269403828,0.27261333505169544,0.15527395518210654,0.384043477545636,1.0,0,0.0,11.309472057077548,100
neuron_count,256,position_cosine,higher,circular_shift,0.7752989612271793,0.7331384848188756,0.8184521269403828,0.17106819244845092,0.09803274620362591,0.2755695510653203,1.0,0,0.0,15.961298746477114,100
neuron_count,256,position_cosine,higher,condition_shuffle,0.7752989612271793,0.7331384848188756,0.8184521269403828,-0.019028926697469944,-0.13094781138205777,0.10571578683327158,1.0,0,0.0,14.910079748878513,100
neuron_count,256,position_cosine,higher,independent_neuron_shift,0.7752989612271793,0.7331384848188756,0.8184521269403828,0.3219890954438687,0.2499985923078731,0.39446024751169856,1.0,0,0.0,14.293450423572223,100
