split_count,metric,mean,standard_error,mean_ci_low,mean_ci_high
25,position_correlation,0.8542358215095699,0.0036672046229888735,0.8470481004485118,0.861423542570628
25,normalized_position_rmse,0.5460919145088898,0.008562515199189286,0.5293093847184789,0.5628744442993008
25,velocity_direction_cosine,0.6654992604195327,0.0027973980639747955,0.6600163602141421,0.6709821606249232
25,speed_profile_correlation,0.7427882748099865,0.00655395129593009,0.7299425302699636,0.7556340193500095
25,path_length_similarity,0.9507095753446718,0.008230928488844564,0.9345769555065365,0.9668421951828071
25,acceleration_direction_cosine,0.6189449294822158,0.0030229332850878286,0.6130199802434436,0.624869878720988
50,position_correlation,0.8541280127959564,0.002356554094539559,0.8495091667706589,0.8587468588212539
50,normalized_position_rmse,0.549682493729758,0.005374736628450999,0.539148009937994,0.5602169775215219
50,velocity_direction_cosine,0.6627990838142098,0.002397560779765701,0.658099864685869,0.6674983029425506
50,speed_profile_correlation,0.7414979695769189,0.004505973069163096,0.7326662623613592,0.7503296767924786
50,path_length_similarity,0.9428133896365061,0.006035295756441948,0.9309842099538799,0.9546425693191323
50,acceleration_direction_cosine,0.6150859172266822,0.002624675086898029,0.609941554056362,0.6202302803970023
100,position_correlation,0.8531583532643714,0.001673091234841315,0.8498790944440824,0.8564376120846604
100,normalized_position_rmse,0.5516165667687892,0.0037561297934211,0.5442545523736839,0.5589785811638945
100,velocity_direction_cosine,0.6633730502600004,0.0019791528466402545,0.6594939106805855,0.6672521898394153
100,speed_profile_correlation,0.7402702305003985,0.003435776298748325,0.7335361089548518,0.7470043520459453
100,path_length_similarity,0.9414020752518566,0.004046211587181219,0.9334715005409814,0.9493326499627318
100,acceleration_direction_cosine,0.6166433058282854,0.002107613684998834,0.6125123830056877,0.6207742286508832
200,position_correlation,0.8541775189598272,0.0013735308757469881,0.8514853984433631,0.8568696394762912
200,normalized_position_rmse,0.5480720503766592,0.002923084242714107,0.5423428052609396,0.5538012954923788
200,velocity_direction_cosine,0.6608922903010889,0.0014097006100953745,0.6581292771053019,0.6636553034968758
200,speed_profile_correlation,0.7403020396661846,0.0023106459971266014,0.7357731735118165,0.7448309058205527
200,path_length_similarity,0.9421344691296136,0.0030122522806786092,0.9362304546594835,0.9480384835997437
200,acceleration_direction_cosine,0.6141556377739981,0.0014980135057002613,0.6112195313028256,0.6170917442451705
500,position_correlation,0.8559007235671732,0.0008625511169462622,0.8542101233779585,0.8575913237563878
500,normalized_position_rmse,0.54433415501106,0.0018663724510546023,0.540676065006993,0.547992245015127
500,velocity_direction_cosine,0.6613606326252197,0.0008820144029325078,0.659631884395472,0.6630893808549674
500,speed_profile_correlation,0.7426566022178019,0.0013508670564971173,0.7400089027870675,0.7453043016485363
500,path_length_similarity,0.9430626292613735,0.0018097335374873149,0.9395155515278983,0.9466097069948487
500,acceleration_direction_cosine,0.6152229343938992,0.0009436146057445994,0.6133734497666398,0.6170724190211586
