axis,axis_value,metric,direction,null,observed_mean,observed_ci_low,observed_ci_high,null_mean,null_ci_low,null_ci_high,paired_superiority,paired_p_value,standardized_separation,n_splits
neuron_count,128,acceleration_direction_cosine,higher,block_shuffle_16,0.47016283356108113,0.436288236761763,0.5046842761040107,0.004185325341476777,-0.09558254947598577,0.121993863155036,1.0,0.009900990099009901,10.611620540609172,100
neuron_count,128,acceleration_direction_cosine,higher,circular_shift,0.47016283356108113,0.436288236761763,0.5046842761040107,-0.002259302978348147,-0.08987638368921043,0.07130544123193194,1.0,0.009900990099009901,13.249441763520794,100
neuron_count,128,acceleration_direction_cosine,higher,condition_shuffle,0.47016283356108113,0.436288236761763,0.5046842761040107,-0.013903856593857442,-0.08333160557688664,0.049500748434220074,1.0,0.009900990099009901,15.435789337589439,100
neuron_count,128,acceleration_direction_cosine,higher,independent_neuron_shift,0.47016283356108113,0.436288236761763,0.5046842761040107,0.0036960993344293653,-0.07547665056183026,0.11127364184698554,1.0,0.009900990099009901,12.395905457938866,100
neuron_count,128,acceleration_direction_cosine,higher,time_reversal,0.47016283356108113,0.436288236761763,0.5046842761040107,0.10700072160291184,0.06882652334827823,0.1418258127088534,1.0,0.009900990099009901,17.96056488137696,100
neuron_count,128,best_lag_correlation,higher,block_shuffle_16,0.8237488047740013,0.7671455708938263,0.8560064924313228,0.43702462797263,0.35789097970357014,0.5376746649915282,1.0,0.009900990099009901,10.302059951140285,100
neuron_count,128,best_lag_correlation,higher,circular_shift,0.8237488047740013,0.7671455708938263,0.8560064924313228,0.3398557426851287,0.2706751260437916,0.4203867700881823,1.0,0.009900990099009901,13.988764717971838,100
neuron_count,128,best_lag_correlation,higher,condition_shuffle,0.8237488047740013,0.7671455708938263,0.8560064924313228,-0.007240625307058149,-0.11435509074347282,0.12187980590532632,1.0,0.009900990099009901,17.44641530636297,100
neuron_count,128,best_lag_correlation,higher,independent_neuron_shift,0.8237488047740013,0.7671455708938263,0.8560064924313228,0.4841000482068784,0.410406531457808,0.5408093934375912,1.0,0.009900990099009901,12.459983101867476,100
neuron_count,128,best_lag_correlation,higher,time_reversal,0.8237488047740013,0.7671455708938263,0.8560064924313228,0.42463918316745786,0.3836897527654407,0.4522051926735147,1.0,0.009900990099009901,20.940967991465126,100
