axis,value,metric,observed_mean,observed_ci_low,observed_ci_high,neurons,latent_dim,train_fraction,seed,observation_step,splits
split_count,500.0,position_correlation,0.8559016698798527,0.8133271659485799,0.8874077560602914,512,4,1.0,42,4,500
split_count,500.0,normalized_position_rmse,0.5443319861104751,0.4748764336590559,0.6371660689418761,512,4,1.0,42,4,500
split_count,500.0,velocity_direction_cosine,0.6613571104425714,0.6222667649983639,0.6984491685868522,512,4,1.0,42,4,500
split_count,500.0,speed_profile_correlation,0.7426636795839869,0.6821874816166897,0.8012960632313095,512,4,1.0,42,4,500
split_count,500.0,path_length_similarity,0.9430651892063175,0.8564454986430385,0.9966263021997295,512,4,1.0,42,4,500
split_count,500.0,acceleration_direction_cosine,0.6152212392170139,0.573836690395114,0.6573426571269787,512,4,1.0,42,4,500
neuron_count,128.0,position_correlation,0.8162239364824737,0.7578103896097872,0.8494388231742397,128,4,1.0,42,4,100
neuron_count,128.0,normalized_position_rmse,0.6158919734101859,0.5424947185996947,0.71807373758253,128,4,1.0,42,4,100
neuron_count,128.0,velocity_direction_cosine,0.5592594738666473,0.5120390293393319,0.6037730888294968,128,4,1.0,42,4,100
neuron_count,128.0,speed_profile_correlation,0.6536031140063098,0.5686295152344315,0.7310374812943282,128,4,1.0,42,4,100
neuron_count,128.0,path_length_similarity,0.9408861270497678,0.8325818596496424,0.9973567202111325,128,4,1.0,42,4,100
neuron_count,128.0,acceleration_direction_cosine,0.47016283356108113,0.436288236761763,0.5046842761040107,128,4,1.0,42,4,100
neuron_count,256.0,position_correlation,0.8437469756725872,0.797226065946031,0.878792837090224,256,4,1.0,42,4,100
neuron_count,256.0,normalized_position_rmse,0.567085043061833,0.48405163381797944,0.6654139468053679,256,4,1.0,42,4,100
neuron_count,256.0,velocity_direction_cosine,0.5919735940952937,0.5563646821097813,0.6304073424619134,256,4,1.0,42,4,100
neuron_count,256.0,speed_profile_correlation,0.7407476357124829,0.6793626404011422,0.7905971537542141,256,4,1.0,42,4,100
neuron_count,256.0,path_length_similarity,0.9404376024386576,0.8553461297026538,0.9968662847213707,256,4,1.0,42,4,100
neuron_count,256.0,acceleration_direction_cosine,0.5370585323081964,0.5041961637111294,0.5799006931666064,256,4,1.0,42,4,100
neuron_count,512.0,position_correlation,0.8531595151902674,0.8184708723928851,0.8832466871169561,512,4,1.0,42,4,100
neuron_count,512.0,normalized_position_rmse,0.551613832187508,0.4861952833685465,0.6150681644599952,512,4,1.0,42,4,100
neuron_count,512.0,velocity_direction_cosine,0.6633694687130612,0.6241872277111088,0.7000766208559993,512,4,1.0,42,4,100
neuron_count,512.0,speed_profile_correlation,0.7402778708079354,0.6629042651536776,0.8062338198956077,512,4,1.0,42,4,100
neuron_count,512.0,path_length_similarity,0.9414040871151907,0.8518728116892238,0.9922616461974302,512,4,1.0,42,4,100
neuron_count,512.0,acceleration_direction_cosine,0.6166419418892627,0.5772162714392113,0.6594215860183751,512,4,1.0,42,4,100
neuron_count,1024.0,position_correlation,0.8593802579431704,0.8209447515537218,0.8909997267225085,1024,4,1.0,42,4,100
neuron_count,1024.0,normalized_position_rmse,0.5331642026615859,0.46763947936260064,0.602948295687541,1024,4,1.0,42,4,100
neuron_count,1024.0,velocity_direction_cosine,0.6710162831504155,0.628382691900037,0.7016964705877661,1024,4,1.0,42,4,100
neuron_count,1024.0,speed_profile_correlation,0.7695644502467496,0.7143473574225058,0.8121944949082923,1024,4,1.0,42,4,100
neuron_count,1024.0,path_length_similarity,0.947699966243638,0.8720614193917299,0.9983763888005553,1024,4,1.0,42,4,100
neuron_count,1024.0,acceleration_direction_cosine,0.6274478927033045,0.5909763624494454,0.6648604503093739,1024,4,1.0,42,4,100
latent_dim,4.0,position_correlation,0.8531595151902674,0.8184708723928851,0.8832466871169561,512,4,1.0,42,4,100
latent_dim,4.0,normalized_position_rmse,0.551613832187508,0.4861952833685465,0.6150681644599952,512,4,1.0,42,4,100
latent_dim,4.0,velocity_direction_cosine,0.6633694687130612,0.6241872277111088,0.7000766208559993,512,4,1.0,42,4,100
latent_dim,4.0,speed_profile_correlation,0.7402778708079354,0.6629042651536776,0.8062338198956077,512,4,1.0,42,4,100
latent_dim,4.0,path_length_similarity,0.9414040871151907,0.8518728116892238,0.9922616461974302,512,4,1.0,42,4,100
latent_dim,4.0,acceleration_direction_cosine,0.6166419418892627,0.5772162714392113,0.6594215860183751,512,4,1.0,42,4,100
latent_dim,8.0,position_correlation,0.8503062325929167,0.818293652600869,0.8804644163404504,512,8,1.0,42,4,100
latent_dim,8.0,normalized_position_rmse,0.5536956890825678,0.49946371812981644,0.6159971346512938,512,8,1.0,42,4,100
latent_dim,8.0,velocity_direction_cosine,0.6373920345387962,0.6063194953133393,0.659800830159616,512,8,1.0,42,4,100
latent_dim,8.0,speed_profile_correlation,0.7464224127865349,0.6739501121133327,0.8095947842702261,512,8,1.0,42,4,100
latent_dim,8.0,path_length_similarity,0.9478314426836963,0.8716509243495209,0.9978857559684718,512,8,1.0,42,4,100
latent_dim,8.0,acceleration_direction_cosine,0.5745449097493158,0.5365287590422183,0.5993490638807301,512,8,1.0,42,4,100
latent_dim,12.0,position_correlation,0.8464745747446414,0.8104638343340074,0.8763016537387075,512,12,1.0,42,4,100
latent_dim,12.0,normalized_position_rmse,0.5591788196106349,0.5077001513142737,0.6178293383225931,512,12,1.0,42,4,100
latent_dim,12.0,velocity_direction_cosine,0.6436510335264167,0.6161157365432848,0.6680530587052753,512,12,1.0,42,4,100
latent_dim,12.0,speed_profile_correlation,0.7850795612589178,0.7101669792740668,0.8471183839768198,512,12,1.0,42,4,100
latent_dim,12.0,path_length_similarity,0.9475631033998121,0.8710863102096258,0.9988587908809708,512,12,1.0,42,4,100
latent_dim,12.0,acceleration_direction_cosine,0.5826536173134342,0.5531292932400778,0.6089904913724931,512,12,1.0,42,4,100
latent_dim,16.0,position_correlation,0.8537832659338653,0.8217092903764368,0.8781238525689843,512,16,1.0,42,4,100
latent_dim,16.0,normalized_position_rmse,0.5467069354536194,0.4976859781261683,0.6067766233742663,512,16,1.0,42,4,100
latent_dim,16.0,velocity_direction_cosine,0.6385287427678196,0.6091166540976213,0.6639118947908912,512,16,1.0,42,4,100
latent_dim,16.0,speed_profile_correlation,0.7935144926221834,0.7220112312086977,0.8588011336024672,512,16,1.0,42,4,100
latent_dim,16.0,path_length_similarity,0.9445503754608392,0.8684792727356568,0.997009177069822,512,16,1.0,42,4,100
latent_dim,16.0,acceleration_direction_cosine,0.5767581299629163,0.5464076076012986,0.605865004937094,512,16,1.0,42,4,100
train_fraction,0.25,position_correlation,0.8409678490456446,0.8019264495270833,0.8710767375474567,512,4,0.25,42,4,100
train_fraction,0.25,normalized_position_rmse,0.5735425243280927,0.5035674828980876,0.6489289514093554,512,4,0.25,42,4,100
train_fraction,0.25,velocity_direction_cosine,0.6329656566848666,0.5969245883869179,0.6654816658220889,512,4,0.25,42,4,100
train_fraction,0.25,speed_profile_correlation,0.744661317202219,0.6620853377248689,0.8052495476158443,512,4,0.25,42,4,100
train_fraction,0.25,path_length_similarity,0.9447626239016383,0.8483188985824671,0.9952617003880851,512,4,0.25,42,4,100
train_fraction,0.25,acceleration_direction_cosine,0.5839591329485885,0.5472752570340996,0.622059621536219,512,4,0.25,42,4,100
train_fraction,0.5,position_correlation,0.855141420978134,0.8149672401995376,0.8841241471805101,512,4,0.5,42,4,100
train_fraction,0.5,normalized_position_rmse,0.5506339847491569,0.48085294095843806,0.6298839696562742,512,4,0.5,42,4,100
train_fraction,0.5,velocity_direction_cosine,0.6254047400899385,0.5832405291458919,0.6583247932980879,512,4,0.5,42,4,100
train_fraction,0.5,speed_profile_correlation,0.7662334985775954,0.6855344722749781,0.8295893411598705,512,4,0.5,42,4,100
train_fraction,0.5,path_length_similarity,0.9432654642089681,0.8682639563011552,0.9981032272713324,512,4,0.5,42,4,100
train_fraction,0.5,acceleration_direction_cosine,0.549889734828398,0.5207095739736803,0.5819193671159165,512,4,0.5,42,4,100
train_fraction,0.75,position_correlation,0.8477284352087936,0.8135716560124352,0.8772880999890099,512,4,0.75,42,4,100
train_fraction,0.75,normalized_position_rmse,0.562336345893835,0.4983185635284632,0.6324909147928838,512,4,0.75,42,4,100
train_fraction,0.75,velocity_direction_cosine,0.6585409237066413,0.6205855420344722,0.6957146330932723,512,4,0.75,42,4,100
train_fraction,0.75,speed_profile_correlation,0.7335350432824826,0.6703443928042899,0.8031398293891762,512,4,0.75,42,4,100
train_fraction,0.75,path_length_similarity,0.9424681051480168,0.8502087521623581,0.9930761015532248,512,4,0.75,42,4,100
train_fraction,0.75,acceleration_direction_cosine,0.6139481678744204,0.5748933037512486,0.6536535729616004,512,4,0.75,42,4,100
train_fraction,1.0,position_correlation,0.8531595151902674,0.8184708723928851,0.8832466871169561,512,4,1.0,42,4,100
train_fraction,1.0,normalized_position_rmse,0.551613832187508,0.4861952833685465,0.6150681644599952,512,4,1.0,42,4,100
train_fraction,1.0,velocity_direction_cosine,0.6633694687130612,0.6241872277111088,0.7000766208559993,512,4,1.0,42,4,100
train_fraction,1.0,speed_profile_correlation,0.7402778708079354,0.6629042651536776,0.8062338198956077,512,4,1.0,42,4,100
train_fraction,1.0,path_length_similarity,0.9414040871151907,0.8518728116892238,0.9922616461974302,512,4,1.0,42,4,100
train_fraction,1.0,acceleration_direction_cosine,0.6166419418892627,0.5772162714392113,0.6594215860183751,512,4,1.0,42,4,100
random_seed,42.0,position_correlation,0.8531595151902674,0.8184708723928851,0.8832466871169561,512,4,1.0,42,4,100
random_seed,42.0,normalized_position_rmse,0.551613832187508,0.4861952833685465,0.6150681644599952,512,4,1.0,42,4,100
random_seed,42.0,velocity_direction_cosine,0.6633694687130612,0.6241872277111088,0.7000766208559993,512,4,1.0,42,4,100
random_seed,42.0,speed_profile_correlation,0.7402778708079354,0.6629042651536776,0.8062338198956077,512,4,1.0,42,4,100
random_seed,42.0,path_length_similarity,0.9414040871151907,0.8518728116892238,0.9922616461974302,512,4,1.0,42,4,100
random_seed,42.0,acceleration_direction_cosine,0.6166419418892627,0.5772162714392113,0.6594215860183751,512,4,1.0,42,4,100
random_seed,314.0,position_correlation,0.8551683279395759,0.8101283604103682,0.8889723272549094,512,4,1.0,314,4,100
random_seed,314.0,normalized_position_rmse,0.5484447263906732,0.48066343997687094,0.6289101218157341,512,4,1.0,314,4,100
random_seed,314.0,velocity_direction_cosine,0.6316885140933346,0.5986468498318499,0.6559331485780847,512,4,1.0,314,4,100
random_seed,314.0,speed_profile_correlation,0.7301549474939881,0.6557201639917454,0.7870443970454981,512,4,1.0,314,4,100
random_seed,314.0,path_length_similarity,0.9450645794811632,0.852447825419253,0.9961324059972069,512,4,1.0,314,4,100
random_seed,314.0,acceleration_direction_cosine,0.5843609284023198,0.5433947479763339,0.6204857320802893,512,4,1.0,314,4,100
random_seed,2718.0,position_correlation,0.8621740928321597,0.830742184214699,0.89569362475674,512,4,1.0,2718,4,100
random_seed,2718.0,normalized_position_rmse,0.5335497447220799,0.46209396022456584,0.6169224555972644,512,4,1.0,2718,4,100
random_seed,2718.0,velocity_direction_cosine,0.6666612573123883,0.6324206898647139,0.6981515980987724,512,4,1.0,2718,4,100
random_seed,2718.0,speed_profile_correlation,0.7556928368905836,0.7017388804439201,0.8146488372864326,512,4,1.0,2718,4,100
random_seed,2718.0,path_length_similarity,0.9417966437577278,0.847144667292509,0.9944652483338586,512,4,1.0,2718,4,100
random_seed,2718.0,acceleration_direction_cosine,0.6040069300812089,0.5673995427236457,0.6427955940215054,512,4,1.0,2718,4,100
observation_step,4.0,position_correlation,0.8531595151902674,0.8184708723928851,0.8832466871169561,512,4,1.0,42,4,100
observation_step,4.0,normalized_position_rmse,0.551613832187508,0.4861952833685465,0.6150681644599952,512,4,1.0,42,4,100
observation_step,4.0,velocity_direction_cosine,0.6633694687130612,0.6241872277111088,0.7000766208559993,512,4,1.0,42,4,100
observation_step,4.0,speed_profile_correlation,0.7402778708079354,0.6629042651536776,0.8062338198956077,512,4,1.0,42,4,100
observation_step,4.0,path_length_similarity,0.9414040871151907,0.8518728116892238,0.9922616461974302,512,4,1.0,42,4,100
observation_step,4.0,acceleration_direction_cosine,0.6166419418892627,0.5772162714392113,0.6594215860183751,512,4,1.0,42,4,100
observation_step,1.0,position_correlation,0.847537952090673,0.814426455304349,0.8761969621143255,512,4,1.0,42,1,100
observation_step,1.0,normalized_position_rmse,0.5615396874154943,0.49709601559254785,0.6256691018448605,512,4,1.0,42,1,100
observation_step,1.0,velocity_direction_cosine,0.6190096106605104,0.5835882282664931,0.6626676921235142,512,4,1.0,42,1,100
observation_step,1.0,speed_profile_correlation,0.722643458265292,0.6510611026029082,0.7887605148579808,512,4,1.0,42,1,100
observation_step,1.0,path_length_similarity,0.943311987145865,0.8574356613827376,0.9980122229861454,512,4,1.0,42,1,100
observation_step,1.0,acceleration_direction_cosine,0.5559075585678938,0.5153894740747806,0.5996104145775255,512,4,1.0,42,1,100
