split_count,metric,mean,standard_error
25,position_correlation,0.8651268339127788,0.00403804301699426
25,normalized_position_rmse,0.5185679404626135,0.007596796574947629
25,velocity_direction_cosine,0.6431050074909547,0.004100841537488445
25,speed_profile_correlation,0.7897889745339309,0.006131814572425942
25,acceleration_direction_cosine,0.5639163790107827,0.0032130574219623917
50,position_correlation,0.8612474342854284,0.002620085812290539
50,normalized_position_rmse,0.536129592551123,0.0063514871195003075
50,velocity_direction_cosine,0.6407451788728673,0.0027204902559700567
50,speed_profile_correlation,0.7815164268832668,0.004343284559208461
50,acceleration_direction_cosine,0.5584037708737261,0.0022920051562709183
100,position_correlation,0.8576127967396995,0.0018467080299948715
100,normalized_position_rmse,0.5429586112583721,0.004574678811503862
100,velocity_direction_cosine,0.6393968886512961,0.002007942626082285
100,speed_profile_correlation,0.7787870972077939,0.0030038000194045583
100,acceleration_direction_cosine,0.5598078189350578,0.0020005770944674095
200,position_correlation,0.8583353142234356,0.0012758940837399556
200,normalized_position_rmse,0.542392488703627,0.003151100017791943
200,velocity_direction_cosine,0.6368334688558647,0.0013542774418715952
200,speed_profile_correlation,0.7776808599817238,0.0021915816822369234
200,acceleration_direction_cosine,0.5578705100818244,0.0014699581684969006
