axis,axis_value,metric,observed_mean,observed_ci_low,observed_ci_high,neurons,latent_dim,selected_train_fraction,selected_train_trials,seed,observation_step,splits
selected_train_fraction,0.5,speed_profile_correlation,0.7591049782960433,0.6736663147320208,0.8242157319421034,512,4,0.5,87,42,4,100
selected_train_fraction,0.5,acceleration_direction_cosine,0.5674665064471135,0.5324304150289306,0.6003089313520494,512,4,0.5,87,42,4,100
selected_train_fraction,0.75,position_correlation,0.8564487395169954,0.816331311796013,0.8870203580042938,512,4,0.75,130,42,4,100
selected_train_fraction,0.75,normalized_position_rmse,0.5471433685106929,0.47595486515649443,0.6285229212232635,512,4,0.75,130,42,4,100
selected_train_fraction,0.75,velocity_direction_cosine,0.6297137908314041,0.5916745601902119,0.6604611559388212,512,4,0.75,130,42,4,100
selected_train_fraction,0.75,speed_profile_correlation,0.7643993309578119,0.6780097093995846,0.8283088752480258,512,4,0.75,130,42,4,100
selected_train_fraction,0.75,acceleration_direction_cosine,0.557359173960977,0.5263937203247743,0.5910736654091774,512,4,0.75,130,42,4,100
selected_train_fraction,1.0,position_correlation,0.8553609474849243,0.8166815615406966,0.8840444589804302,512,4,1.0,174,42,4,100
selected_train_fraction,1.0,normalized_position_rmse,0.5497856811303797,0.47866109742534174,0.6357505913132633,512,4,1.0,174,42,4,100
selected_train_fraction,1.0,velocity_direction_cosine,0.6342524574095372,0.591103252896429,0.6679210891514382,512,4,1.0,174,42,4,100
selected_train_fraction,1.0,speed_profile_correlation,0.7704573814250903,0.6914574942845673,0.8339180161452443,512,4,1.0,174,42,4,100
selected_train_fraction,1.0,acceleration_direction_cosine,0.5576051617500852,0.5269606939099655,0.5906875643965291,512,4,1.0,174,42,4,100
random_seed,42.0,position_correlation,0.8553609474849243,0.8166815615406966,0.8840444589804302,512,4,1.0,174,42,4,100
random_seed,42.0,normalized_position_rmse,0.5497856811303797,0.47866109742534174,0.6357505913132633,512,4,1.0,174,42,4,100
random_seed,42.0,velocity_direction_cosine,0.6342524574095372,0.591103252896429,0.6679210891514382,512,4,1.0,174,42,4,100
