stage,latent_dim,initial_lengthscale_seconds,calibration_nll_per_observation,calibration_standard_error,selected
dimension,4,0.5,1.403459604124555,0.03578138179842098,True
dimension,8,0.5,1.3970475997730258,0.03597377059308761,False
dimension,12,0.5,1.393845824015854,0.0361219047655825,False
dimension,16,0.5,1.3916052516973405,0.03625661027246899,False
initialization,4,0.125,1.4039462423036044,0.03576036436215515,False
initialization,4,0.25,1.4031800295431798,0.03577201750143021,True
initialization,4,0.5,1.403459604124555,0.03578138179842098,False
initialization,4,1.0,1.404357317902759,0.03576319549222789,False
