metric,direction,null,observed_mean,observed_ci_low,observed_ci_high,null_mean,null_ci_low,null_ci_high,paired_superiority,paired_p_value,standardized_separation,n_splits
acceleration_direction_cosine,higher,block_shuffle_16,0.6163235243984331,0.5824205926388956,0.6547566534813098,0.004402599821642738,-0.10262981620725117,0.11629855455761445,1.0,0.004975124378109453,13.996914322362512,200
acceleration_direction_cosine,higher,block_shuffle_32,0.6163235243984331,0.5824205926388956,0.6547566534813098,0.0814123976015676,-0.023919932125415804,0.2405889387065366,1.0,0.004975124378109453,11.12850720761724,200
acceleration_direction_cosine,higher,block_shuffle_4,0.6163235243984331,0.5824205926388956,0.6547566534813098,-0.0017009746595799619,-0.10506075277397492,0.09442088398811808,1.0,0.004975124378109453,15.908882414502386,200
acceleration_direction_cosine,higher,block_shuffle_8,0.6163235243984331,0.5824205926388956,0.6547566534813098,0.0014078761382892732,-0.09572408252158406,0.08902568410834495,1.0,0.004975124378109453,16.41921296334125,200
acceleration_direction_cosine,higher,circular_shift,0.6163235243984331,0.5824205926388956,0.6547566534813098,-0.0055931996859574385,-0.10509020666270281,0.08727093429482394,1.0,0.004975124378109453,16.480362327894635,200
acceleration_direction_cosine,higher,condition_shuffle,0.6163235243984331,0.5824205926388956,0.6547566534813098,0.017105731343933346,-0.05085900913456838,0.09232253161584823,1.0,0.004975124378109453,19.522931166093667,200
acceleration_direction_cosine,higher,frame_shuffle,0.6163235243984331,0.5824205926388956,0.6547566534813098,-0.003921304015881939,-0.08346851283459383,0.07636582773256838,1.0,0.004975124378109453,17.63866865348159,200
acceleration_direction_cosine,higher,independent_neuron_shift,0.6163235243984331,0.5824205926388956,0.6547566534813098,-0.005023116292527129,-0.0824741690176357,0.08245366530425116,1.0,0.004975124378109453,18.22368419385417,200
acceleration_direction_cosine,higher,time_reversal,0.6163235243984331,0.5824205926388956,0.6547566534813098,0.07778383916391568,0.04852633633476869,0.10815953272869491,1.0,0.004975124378109453,31.044873536792334,200
best_lag_correlation,higher,block_shuffle_16,0.8594369670812386,0.8216285634757761,0.8904648400852516,0.30455537472582545,0.19113568765483305,0.4317083198048285,1.0,0.004975124378109453,11.392027722046208,200
