model,metric,direction,null,observed,null_mean,null_ci_low,null_ci_high,null_exceedances,null_exceedance_rate
dynamic,acceleration_direction_cosine,higher,block_shuffle,0.4524882094076155,-0.010434547262649512,-0.10499726377359855,0.08012276553793354,0,0.0
dynamic,acceleration_direction_cosine,higher,circular_shift,0.4524882094076155,-0.0026684803375538074,-0.07339059965922314,0.07313482893089143,0,0.0
dynamic,acceleration_direction_cosine,higher,condition_shuffle,0.4524882094076155,0.0038065362332313658,-0.05695480870057346,0.0637281433455583,0,0.0
dynamic,acceleration_direction_cosine,higher,independent_neuron_shift,0.4524882094076155,-0.009454342071794835,-0.08535558040247627,0.08047878141302857,0,0.0
dynamic,acceleration_direction_cosine,higher,time_reversal,0.4524882094076155,0.08084179953912769,0.08084179953912769,0.08084179953912769,0,0.0
dynamic,best_lag_correlation,higher,block_shuffle,0.7369334725895335,0.31698186552997354,0.2429175272527139,0.4019810497890821,0,0.0
dynamic,best_lag_correlation,higher,circular_shift,0.7369334725895335,0.2218359859900063,0.12685991128903495,0.32667507853503963,0,0.0
dynamic,best_lag_correlation,higher,condition_shuffle,0.7369334725895335,0.04675239763106205,-0.029007096635949383,0.1298098029617482,0,0.0
dynamic,best_lag_correlation,higher,independent_neuron_shift,0.7369334725895335,0.41736957335242425,0.387050972454447,0.45518587847261927,0,0.0
dynamic,best_lag_correlation,higher,time_reversal,0.7369334725895335,0.2852996913222004,0.28529969132220034,0.28529969132220034,0,0.0
dynamic,normalized_position_rmse,lower,block_shuffle,0.7048301456243083,1.0969138571950452,1.0298780650954116,1.1569104476326018,0,0.0
dynamic,normalized_position_rmse,lower,circular_shift,0.7048301456243083,1.1835985103818603,1.1222100591418134,1.240996692782009,0,0.0
dynamic,normalized_position_rmse,lower,condition_shuffle,0.7048301456243083,1.2822379487350428,1.2239180316563814,1.3389951510476354,0,0.0
dynamic,normalized_position_rmse,lower,independent_neuron_shift,0.7048301456243083,0.9487904689728635,0.9290054378637727,0.9666886669177919,0,0.0
dynamic,normalized_position_rmse,lower,time_reversal,0.7048301456243083,1.1213451534206502,1.1213451534206498,1.1213451534206498,0,0.0
dynamic,path_length_similarity,higher,block_shuffle,0.7035034628030709,0.8932919600579649,0.8280562629904881,0.9406186938098153,200,1.0
dynamic,path_length_similarity,higher,circular_shift,0.7035034628030709,0.7192511392098271,0.7081199826365746,0.7299784040032168,200,1.0
dynamic,path_length_similarity,higher,condition_shuffle,0.7035034628030709,0.810299931922792,0.7113739186225208,0.8889423337976642,199,0.995
dynamic,path_length_similarity,higher,independent_neuron_shift,0.7035034628030709,0.23968113005472766,0.2259547309888362,0.2549364845701336,0,0.0
dynamic,path_length_similarity,higher,time_reversal,0.7035034628030709,0.7122734311628358,0.7122734311628358,0.7122734311628358,200,1.0
dynamic,position_correlation,higher,block_shuffle,0.7262191334662801,0.21037125871877804,0.11059595256872488,0.31310937580979825,0,0.0
dynamic,position_correlation,higher,circular_shift,0.7262191334662801,0.10141367717838357,0.006751137569414346,0.19980956115468174,0,0.0
dynamic,position_correlation,higher,condition_shuffle,0.7262191334662801,-0.0642322750537042,-0.16614686538825146,0.036911014836687975,0,0.0
dynamic,position_correlation,higher,independent_neuron_shift,0.7262191334662801,0.35114564347502364,0.30748920960109943,0.39831496721634035,0,0.0
dynamic,position_correlation,higher,time_reversal,0.7262191334662801,0.20417238833863613,0.20417238833863607,0.20417238833863607,0,0.0
dynamic,position_cosine,higher,block_shuffle,0.7230190323837339,0.2649558176965512,0.1769999584105489,0.3378947883821651,0,0.0
dynamic,position_cosine,higher,circular_shift,0.7230190323837339,0.16749708281363376,0.072341580902069,0.2773669697784039,0,0.0
dynamic,position_cosine,higher,condition_shuffle,0.7230190323837339,-0.07990162594689025,-0.19727690697748607,0.028953868182086857,0,0.0
dynamic,position_cosine,higher,independent_neuron_shift,0.7230190323837339,0.32967332476006284,0.2913298551828189,0.3717874661121325,0,0.0
dynamic,position_cosine,higher,time_reversal,0.7230190323837339,0.2584344264749871,0.2584344264749871,0.2584344264749871,0,0.0
