metric,static_mean,dynamic_mean,dynamic_minus_static,ci_low,ci_high,probability_dynamic_better,one_sided_exact_sign_flip_p,conditions
temporal_cka,0.5130738211310107,0.5985016895268681,0.08542786839585736,0.030388504802547442,0.165545807398749,1.0,0.03125,6
temporal_difference_cka,0.09911299264568156,0.20270921222511193,0.1035962195794304,0.09205222080595206,0.11541769733424082,1.0,0.015625,6
temporal_rsa,0.5534631866279995,0.6426902521139123,0.08922706548591279,0.03080782379063467,0.1929832553695041,1.0,0.015625,6
response_r,0.21687719911017714,0.26156291565171896,0.04468571654154182,0.023349569787868504,0.0648354675447384,1.0,0.015625,6
