metric,left,right,oriented_right_advantage,ci_low,ci_high,probability_right_better
position_correlation,0.5129978548228742,0.6914219072617687,0.17842405243889448,0.05224879899832724,0.3872359698859817,1.0
position_cosine,0.3675119396065123,0.6693431099600987,0.3018311703535864,0.05478090271983278,0.4881007102158764,0.9935
normalized_position_rmse,0.874198556875403,0.7291743775648339,0.1450241793105691,0.052443525859728946,0.2815435005183504,1.0
velocity_direction_cosine,0.2892389902466905,0.4737064550557801,0.1844674648090896,0.15136104981600373,0.21507041354196213,1.0
speed_profile_correlation,0.5170666279640994,0.5377969468296783,0.020730318865578856,-0.03417547611943615,0.06576044280134163,0.741
path_length_similarity,0.4837559752669946,0.5782479817670864,0.09449200650009176,0.030675747264229888,0.1614212326050622,0.9995
acceleration_direction_cosine,0.14497874026391408,0.39455877463492167,0.2495800343710076,0.21250646400367237,0.2806694500240471,1.0
zero_lag_correlation,0.5370648894658081,0.6964092338576942,0.15934434439188605,0.05164771678648145,0.33042655274602895,1.0
best_lag_correlation,0.5388235684377467,0.6995551589988531,0.16073159056110642,0.05457450455015611,0.33042655274602895,1.0
