metric,strict_monotonic_degradation,severity_quality_spearman,bootstrap_rho_median,bootstrap_rho_ci_low,bootstrap_rho_ci_high,bootstrap_strict_monotonic_proportion
position_correlation,True,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,0.9975
normalized_position_rmse,False,-0.8999999999999998,-0.8999999999999998,-0.8999999999999998,-0.8999999999999998,0.012
velocity_direction_cosine,True,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,-0.8999999999999998,0.9715
speed_profile_correlation,True,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,-0.8999999999999998,0.653
acceleration_direction_cosine,True,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,1.0
