model,null,permutation,metric,value
static,condition_shuffle,10,position_cosine,0.003928231341153408
static,condition_shuffle,10,normalized_position_rmse,1.2033410150957562
static,condition_shuffle,10,velocity_direction_cosine,-0.0057578890860994
static,condition_shuffle,10,speed_profile_correlation,-0.16845929751544594
static,condition_shuffle,10,path_length_similarity,0.6645344549864601
static,condition_shuffle,10,acceleration_direction_cosine,-0.013499970644511099
static,condition_shuffle,10,zero_lag_correlation,0.0886604424188944
static,condition_shuffle,10,best_lag_correlation,0.09826171362935349
static,condition_shuffle,11,position_correlation,-0.020118664405269725
static,condition_shuffle,11,position_cosine,-0.011681753755121661
static,condition_shuffle,11,normalized_position_rmse,1.2066561753832683
static,condition_shuffle,11,velocity_direction_cosine,-0.018581143510052377
static,condition_shuffle,11,speed_profile_correlation,-0.1112614792037797
static,condition_shuffle,11,path_length_similarity,0.6487164079075712
static,condition_shuffle,11,acceleration_direction_cosine,-0.037578906062642074
static,condition_shuffle,11,zero_lag_correlation,0.08334689300841285
static,condition_shuffle,11,best_lag_correlation,0.09645943962111875
static,condition_shuffle,12,position_correlation,-0.05788928682102161
static,condition_shuffle,12,position_cosine,-0.04149833745874929
static,condition_shuffle,12,normalized_position_rmse,1.226714596284493
static,condition_shuffle,12,velocity_direction_cosine,0.024282879626582408
static,condition_shuffle,12,speed_profile_correlation,-0.15360417010538435
static,condition_shuffle,12,path_length_similarity,0.6634128143678522
static,condition_shuffle,12,acceleration_direction_cosine,0.0321339853631646
static,condition_shuffle,12,zero_lag_correlation,0.050885385595945694
static,condition_shuffle,12,best_lag_correlation,0.09145721354981054
static,condition_shuffle,13,position_correlation,-0.14746756540989592
static,condition_shuffle,13,position_cosine,-0.1485154748072247
static,condition_shuffle,13,normalized_position_rmse,1.27302293356662
static,condition_shuffle,13,velocity_direction_cosine,-0.0314408042350225
static,condition_shuffle,13,speed_profile_correlation,-0.016623522449117765
static,condition_shuffle,13,path_length_similarity,0.6171139489623462
static,condition_shuffle,13,acceleration_direction_cosine,0.011564997347594636
static,condition_shuffle,13,zero_lag_correlation,-0.026101589159230804
static,condition_shuffle,13,best_lag_correlation,-0.009423364452813348
static,condition_shuffle,14,position_correlation,-0.053187518466386335
static,condition_shuffle,14,position_cosine,-0.03677214376272659
static,condition_shuffle,14,normalized_position_rmse,1.2242355899877966
static,condition_shuffle,14,velocity_direction_cosine,0.003926674768348708
static,condition_shuffle,14,speed_profile_correlation,-0.15848712607971557
static,condition_shuffle,14,path_length_similarity,0.6402963925139091
static,condition_shuffle,14,acceleration_direction_cosine,-0.029002005008065
static,condition_shuffle,14,zero_lag_correlation,0.05492626389060799
static,condition_shuffle,14,best_lag_correlation,0.08751487980719257
static,condition_shuffle,15,position_correlation,-0.12605817186881127
static,condition_shuffle,15,position_cosine,-0.17194275107536952
static,condition_shuffle,15,normalized_position_rmse,1.2621096718528895
static,condition_shuffle,15,velocity_direction_cosine,-0.01908291227719945
static,condition_shuffle,15,speed_profile_correlation,-0.014208688648313924
static,condition_shuffle,15,path_length_similarity,0.6228202684116138
static,condition_shuffle,15,acceleration_direction_cosine,0.025147627444269748
static,condition_shuffle,15,zero_lag_correlation,-0.007701543232518439
static,condition_shuffle,15,best_lag_correlation,0.03385779532073467
static,condition_shuffle,16,position_correlation,0.0003107993727882105
static,condition_shuffle,16,position_cosine,0.004780544431451873
static,condition_shuffle,16,normalized_position_rmse,1.195666712296634
static,condition_shuffle,16,velocity_direction_cosine,0.009858183286092215
static,condition_shuffle,16,speed_profile_correlation,-0.14614196431223456
static,condition_shuffle,16,path_length_similarity,0.6353990079228596
static,condition_shuffle,16,acceleration_direction_cosine,-0.0024068156340674544
static,condition_shuffle,16,zero_lag_correlation,0.10090475007956312
static,condition_shuffle,16,best_lag_correlation,0.11679534857484274
static,condition_shuffle,17,position_correlation,-0.16791119558211384
static,condition_shuffle,17,position_cosine,-0.12422232837223214
static,condition_shuffle,17,normalized_position_rmse,1.2833572903867834
static,condition_shuffle,17,velocity_direction_cosine,0.0069618556182235985
static,condition_shuffle,17,speed_profile_correlation,-0.029965796097834133
static,condition_shuffle,17,path_length_similarity,0.6187848906150119
static,condition_shuffle,17,acceleration_direction_cosine,0.02589133117446319
static,condition_shuffle,17,zero_lag_correlation,-0.043671621367554286
static,condition_shuffle,17,best_lag_correlation,-0.03857203844453329
static,condition_shuffle,18,position_correlation,-0.06302320182003678
static,condition_shuffle,18,position_cosine,-0.05684072808929912
static,condition_shuffle,18,normalized_position_rmse,1.229415742851228
static,condition_shuffle,18,velocity_direction_cosine,0.007342528138377251
static,condition_shuffle,18,speed_profile_correlation,-0.035764824869466125
static,condition_shuffle,18,path_length_similarity,0.6162539844008869
static,condition_shuffle,18,acceleration_direction_cosine,-0.022885857021967024
static,condition_shuffle,18,zero_lag_correlation,0.04647310406240112
static,condition_shuffle,18,best_lag_correlation,0.08030845941736438
static,condition_shuffle,19,position_correlation,-0.08665960109507853
static,condition_shuffle,19,position_cosine,-0.08761653097256755
static,condition_shuffle,19,normalized_position_rmse,1.2417759505340265
static,condition_shuffle,19,velocity_direction_cosine,0.01813512944075252
static,condition_shuffle,19,speed_profile_correlation,-0.12016830175838744
static,condition_shuffle,19,path_length_similarity,0.6610639545773922
static,condition_shuffle,19,acceleration_direction_cosine,0.01167171096866783
static,condition_shuffle,19,zero_lag_correlation,0.02615908482741975
static,condition_shuffle,19,best_lag_correlation,0.05478926921532772
static,condition_shuffle,20,position_correlation,0.023999416361355
static,condition_shuffle,20,position_cosine,0.04963645216324298
static,condition_shuffle,20,normalized_position_rmse,1.182796248440355
static,condition_shuffle,20,velocity_direction_cosine,-0.0012030054138529752
static,condition_shuffle,20,speed_profile_correlation,-0.05665744348081084
static,condition_shuffle,20,path_length_similarity,0.5972084522045457
