metric,comparison,resampling_unit,delta,ci_low,ci_high,probability_dynamic_better,bootstrap_samples
response_single_trial_neuron_mean_r,dynamic_minus_static,neuron,0.027764882349300746,0.02279099821185461,0.032919782397252885,1.0,2000
population_vector_single_trial_mean_r,dynamic_minus_static,trial_time,0.017925139162633726,0.016709432794277328,0.019101842997368577,1.0,2000
