candidate,family,category,severity,split,response_single,response_average,cka_time,cka_delta,rsa_state,rsa_temporal,gpfa_position,gpfa_velocity,gpfa_speed,gpfa_acceleration,gpfa_rmse_quality
dynamic,reference,reference,0.0,selection,0.18135999496129873,0.28868972501838897,0.45358712105887433,0.09068423592599675,0.45224775659922556,0.5537454860609562,0.6985923249619632,0.4638610705104313,0.4672762734877763,0.4106172984012649,-0.7281690123961121
dynamic,reference,reference,0.0,test,0.18661706436971032,0.2968445560010209,0.4589008502585539,0.08565028166313797,0.47092632865449713,0.5851293162516619,0.7160590087891401,0.4786513122532003,0.538430064558279,0.392746188960076,-0.7189652954899193
static,model,model,1.0,selection,0.15552512594470586,0.24227651693203242,0.4095045869244816,0.03278496489610432,0.4042433451899455,0.48820083186109464,0.5073994154150533,0.2910967200797375,0.46118446288239306,0.20653707997795367,-0.8745590501227986
static,model,model,1.0,test,0.15651089855329375,0.24532089770724425,0.410977115216753,0.030813820934409666,0.4285629093129374,0.5245800508894543,0.5129978548228742,0.2892389902466905,0.5170666279640994,0.14497874026391408,-0.874198556875403
matched_epoch65,model,model,0.5,selection,0.16251468880751574,0.25970706215422557,0.39012564713107023,0.08531879544025697,0.3674656969992861,0.5186168735208169,0.5875520971635415,0.39307537789747876,0.4491686845753345,0.3759833308787384,-0.8684308510145504
matched_epoch65,model,model,0.5,test,0.1679858485502998,0.26786490342481956,0.39443703279448666,0.07783794174920393,0.3610257596870965,0.5025519542809734,0.5518096509027036,0.41014456063461247,0.46398849169707607,0.35273804652174356,-0.9105922283076753
kernel_retention_0.75,kernel_ablation,temporal,0.25,selection,0.17217031920972903,0.2761086083144483,0.39146846080823944,0.07736443004315778,0.307989296788925,0.4937070411893465,0.5518668019595319,0.41660707890824444,0.46313491549389296,0.38441277534632134,-0.8510471220040151
kernel_retention_0.75,kernel_ablation,temporal,0.25,test,0.17687014511001453,0.28089668696763265,0.4009948437064546,0.07032883908605504,0.3250187942471799,0.5089095804768201,0.5266038115960887,0.43978469762041167,0.49785469915153013,0.35863309293771206,-0.871098912674749
kernel_retention_0.5,kernel_ablation,temporal,0.5,selection,0.14445422014959836,0.23319796275924937,0.24277997017437952,0.052703259369466245,0.16805569824741284,0.4066101475201576,0.18783568856029836,0.282180256712314,0.30361800813161643,0.28067985470702567,-1.0116482475228803
kernel_retention_0.5,kernel_ablation,temporal,0.5,test,0.14814444155364806,0.2353364169464176,0.2610157270882176,0.052430667068909184,0.18227668920727896,0.42914787942088245,0.17169432623989875,0.29764569820666303,0.3352161764331336,0.24234243582410603,-1.0215830915348318
