metric,direction,null,observed_mean,observed_ci_low,observed_ci_high,null_mean,null_ci_low,null_ci_high,paired_superiority,split_null_failures,split_null_failure_rate,standardized_separation,n_splits
acceleration_direction_cosine,higher,block_shuffle_16,0.5578705100818244,0.5200347768256591,0.6002488514599476,0.004393690476212426,-0.09273520077005436,0.10006825247027187,1.0,0,0.0,13.532790637613688,200
acceleration_direction_cosine,higher,block_shuffle_32,0.5578705100818244,0.5200347768256591,0.6002488514599476,0.06839346717133965,-0.032586027490087266,0.19606484415403727,1.0,0,0.0,10.687758066663925,200
acceleration_direction_cosine,higher,block_shuffle_4,0.5578705100818244,0.5200347768256591,0.6002488514599476,0.00015062867345732534,-0.08722737838573737,0.08922354169903715,1.0,0,0.0,15.30462116525413,200
acceleration_direction_cosine,higher,block_shuffle_8,0.5578705100818244,0.5200347768256591,0.6002488514599476,0.0018724003583390242,-0.0867881932691705,0.07918907164016642,1.0,0,0.0,16.460245656627258,200
acceleration_direction_cosine,higher,circular_shift,0.5578705100818244,0.5200347768256591,0.6002488514599476,-0.005622175252986393,-0.10112713869142996,0.07984729801352777,1.0,0,0.0,15.1407211582197,200
acceleration_direction_cosine,higher,condition_shuffle,0.5578705100818244,0.5200347768256591,0.6002488514599476,-0.0071431969807064346,-0.07903107672112625,0.06531697508236083,1.0,0,0.0,17.784964059780307,200
acceleration_direction_cosine,higher,frame_shuffle,0.5578705100818244,0.5200347768256591,0.6002488514599476,-0.0003201523577448374,-0.0789764362027556,0.0828059032749077,1.0,0,0.0,15.664507408741379,200
acceleration_direction_cosine,higher,independent_neuron_shift,0.5578705100818244,0.5200347768256591,0.6002488514599476,-0.00296444224820383,-0.08648832692190292,0.09493608766152682,1.0,0,0.0,15.606274831780304,200
acceleration_direction_cosine,higher,time_reversal,0.5578705100818244,0.5200347768256591,0.6002488514599476,0.11671240947763195,0.08535602529531464,0.14975978265564643,1.0,0,0.0,23.76691068438078,200
best_lag_correlation,higher,block_shuffle_16,0.8635497829704001,0.8263140614373808,0.8949138258538609,0.3363414376626207,0.22153747715495997,0.47896291689962034,1.0,0,0.0,10.913187619700729,200
best_lag_correlation,higher,block_shuffle_32,0.8635497829704001,0.8263140614373808,0.8949138258538609,0.3227882317907109,0.17747558023746726,0.5151236605700323,1.0,0,0.0,8.906248351292774,200
best_lag_correlation,higher,block_shuffle_4,0.8635497829704001,0.8263140614373808,0.8949138258538609,0.3981578758930858,0.3205952413536704,0.4762036702455478,1.0,0,0.0,14.974040691620745,200
best_lag_correlation,higher,block_shuffle_8,0.8635497829704001,0.8263140614373808,0.8949138258538609,0.3607913831153225,0.2590410657305003,0.46547425102041157,1.0,0,0.0,13.096775728854293,200
best_lag_correlation,higher,circular_shift,0.8635497829704001,0.8263140614373808,0.8949138258538609,0.23524515868192247,0.15371113326913682,0.34372879074121027,1.0,0,0.0,17.610340978189146,200
best_lag_correlation,higher,condition_shuffle,0.8635497829704001,0.8263140614373808,0.8949138258538609,0.0012753459303296627,-0.08088208070560714,0.09947606943756813,1.0,0,0.0,23.305605974453567,200
best_lag_correlation,higher,frame_shuffle,0.8635497829704001,0.8263140614373808,0.8949138258538609,0.39336999968402997,0.32779113745907784,0.46050863998757435,1.0,0,0.0,17.191889824387584,200
best_lag_correlation,higher,independent_neuron_shift,0.8635497829704001,0.8263140614373808,0.8949138258538609,0.4466613916354045,0.37515150015975834,0.5134365219436239,1.0,0,0.0,16.110106249012254,200
best_lag_correlation,higher,time_reversal,0.8635497829704001,0.8263140614373808,0.8949138258538609,0.30473683645107064,0.2843479499250857,0.32276706487824425,1.0,0,0.0,39.35972865197996,200
normalized_position_rmse,lower,block_shuffle_16,0.542392488703627,0.4708040221111633,0.6453836950295658,1.1858459338758507,1.0432376999479223,1.3285915291958232,1.0,0,0.0,10.287011772790406,200
normalized_position_rmse,lower,block_shuffle_32,0.542392488703627,0.4708040221111633,0.6453836950295658,1.1883347331608798,1.0234744170471473,1.3322161403146735,1.0,0,0.0,9.355835328685167,200
