bootstrap,metric,raw_dynamic_minus_static,oriented_dynamic_advantage
0,position_correlation,0.22052730519455377,0.22052730519455377
0,position_cosine,0.4388794104006159,0.4388794104006159
0,normalized_position_rmse,-0.20374259705364994,0.20374259705364994
0,velocity_direction_cosine,0.20507713712172404,0.20507713712172404
0,speed_profile_correlation,0.002240090679157203,0.002240090679157203
0,path_length_similarity,0.17288600086895978,0.17288600086895978
0,acceleration_direction_cosine,0.2986560382244173,0.2986560382244173
0,zero_lag_correlation,0.2058868771787976,0.2058868771787976
0,best_lag_correlation,0.21404928796133338,0.21404928796133338
1,position_correlation,0.1587888439675853,0.1587888439675853
1,position_cosine,0.21541286718586405,0.21541286718586405
1,normalized_position_rmse,-0.14150253726296536,0.14150253726296536
1,velocity_direction_cosine,0.21730538200390026,0.21730538200390026
1,speed_profile_correlation,-0.02669798532847334,-0.02669798532847334
1,path_length_similarity,0.17653984241466936,0.17653984241466936
1,acceleration_direction_cosine,0.28675392331111055,0.28675392331111055
1,zero_lag_correlation,0.14482878053207926,0.14482878053207926
1,best_lag_correlation,0.13898945121720097,0.13898945121720097
2,position_correlation,0.12230855008099217,0.12230855008099217
2,position_cosine,0.1474138277736683,0.1474138277736683
2,normalized_position_rmse,-0.12164439134892313,0.12164439134892313
2,velocity_direction_cosine,0.1346805677464205,0.1346805677464205
2,speed_profile_correlation,-0.013107790906154548,-0.013107790906154548
2,path_length_similarity,0.1689150701143981,0.1689150701143981
2,acceleration_direction_cosine,0.18522958061837635,0.18522958061837635
2,zero_lag_correlation,0.11245044269056104,0.11245044269056104
2,best_lag_correlation,0.11485612393195432,0.11485612393195432
3,position_correlation,0.16982016096494024,0.16982016096494024
3,position_cosine,0.2676103052389531,0.2676103052389531
3,normalized_position_rmse,-0.13046962302951837,0.13046962302951837
3,velocity_direction_cosine,0.2048990800887308,0.2048990800887308
3,speed_profile_correlation,0.005062528740248262,0.005062528740248262
3,path_length_similarity,0.14259212624638928,0.14259212624638928
3,acceleration_direction_cosine,0.2569246278536065,0.2569246278536065
3,zero_lag_correlation,0.1596892775890688,0.1596892775890688
3,best_lag_correlation,0.15876730647914483,0.15876730647914483
4,position_correlation,0.17211024011786624,0.17211024011786624
4,position_cosine,0.251257954823694,0.251257954823694
4,normalized_position_rmse,-0.12767758884617753,0.12767758884617753
4,velocity_direction_cosine,0.23608028247479063,0.23608028247479063
4,speed_profile_correlation,-0.004495289645154776,-0.004495289645154776
4,path_length_similarity,0.1448359743583365,0.1448359743583365
4,acceleration_direction_cosine,0.2872488516392481,0.2872488516392481
4,zero_lag_correlation,0.16081648726279074,0.16081648726279074
4,best_lag_correlation,0.15581957917842393,0.15581957917842393
5,position_correlation,0.26144598148671316,0.26144598148671316
5,position_cosine,0.3692098066859972,0.3692098066859972
5,normalized_position_rmse,-0.18740054923321114,0.18740054923321114
5,velocity_direction_cosine,0.20384509848192356,0.20384509848192356
5,speed_profile_correlation,0.019999884028653048,0.019999884028653048
5,path_length_similarity,0.1399599320200854,0.1399599320200854
5,acceleration_direction_cosine,0.3070627287155394,0.3070627287155394
5,zero_lag_correlation,0.2105905315870077,0.2105905315870077
5,best_lag_correlation,0.21305262337382203,0.21305262337382203
6,position_correlation,0.11025210118610829,0.11025210118610829
6,position_cosine,0.11321070666668986,0.11321070666668986
6,normalized_position_rmse,-0.08510469165182322,0.08510469165182322
