split,null,metric,value
1,frame_shuffle,position_correlation,0.24579371913225212
1,frame_shuffle,position_cosine,0.3154140931223535
1,frame_shuffle,normalized_position_rmse,1.1060170734352819
1,frame_shuffle,velocity_direction_cosine,-0.001544617211684417
1,frame_shuffle,speed_profile_correlation,0.11308832697978874
1,frame_shuffle,path_length_similarity,0.8669427609075583
1,frame_shuffle,acceleration_direction_cosine,-0.01923736942213244
1,frame_shuffle,zero_lag_correlation,0.28817501597105266
1,frame_shuffle,best_lag_correlation,0.3665320963374502
1,time_reversal,position_correlation,0.29107531876355264
1,time_reversal,position_cosine,0.33403511085265775
1,time_reversal,normalized_position_rmse,1.180312032190106
1,time_reversal,velocity_direction_cosine,0.14092075326495848
1,time_reversal,speed_profile_correlation,0.22513576712241645
1,time_reversal,path_length_similarity,0.8994601284272515
1,time_reversal,acceleration_direction_cosine,0.14665773452368683
1,time_reversal,zero_lag_correlation,0.3155587634522249
1,time_reversal,best_lag_correlation,0.31636380306532547
1,independent_neuron_shift,position_correlation,0.3324334026374771
1,independent_neuron_shift,position_cosine,0.36379808923949525
1,independent_neuron_shift,normalized_position_rmse,0.9851908095378423
1,independent_neuron_shift,velocity_direction_cosine,-0.020782559608403747
1,independent_neuron_shift,speed_profile_correlation,0.17349443472469128
1,independent_neuron_shift,path_length_similarity,0.6610887068595478
1,independent_neuron_shift,acceleration_direction_cosine,0.020559404717604795
1,independent_neuron_shift,zero_lag_correlation,0.36531159650372336
1,independent_neuron_shift,best_lag_correlation,0.42072223200013203
1,block_shuffle_4,position_correlation,0.3402546296735637
1,block_shuffle_4,position_cosine,0.373143359728988
1,block_shuffle_4,normalized_position_rmse,1.0171504164242327
1,block_shuffle_4,velocity_direction_cosine,0.04607348692761386
1,block_shuffle_4,speed_profile_correlation,0.2029219955280823
1,block_shuffle_4,path_length_similarity,0.9186238543716325
1,block_shuffle_4,acceleration_direction_cosine,0.0843682108378642
1,block_shuffle_4,zero_lag_correlation,0.3704829935800256
1,block_shuffle_4,best_lag_correlation,0.4194604573854836
1,block_shuffle_8,position_correlation,0.28123893425943675
1,block_shuffle_8,position_cosine,0.3319947686293598
1,block_shuffle_8,normalized_position_rmse,1.122329641633538
1,block_shuffle_8,velocity_direction_cosine,-0.006973649677755116
1,block_shuffle_8,speed_profile_correlation,0.2461859164984135
1,block_shuffle_8,path_length_similarity,0.7551861118290366
1,block_shuffle_8,acceleration_direction_cosine,-0.01710384950887712
1,block_shuffle_8,zero_lag_correlation,0.30891026291228496
1,block_shuffle_8,best_lag_correlation,0.3707794473945085
1,block_shuffle_16,position_correlation,0.4045801871416366
1,block_shuffle_16,position_cosine,0.434684540801411
1,block_shuffle_16,normalized_position_rmse,1.0566619733635272
1,block_shuffle_16,velocity_direction_cosine,0.031213335920789252
1,block_shuffle_16,speed_profile_correlation,0.365463673927934
1,block_shuffle_16,path_length_similarity,0.7869448421956645
1,block_shuffle_16,acceleration_direction_cosine,0.04279378631809917
1,block_shuffle_16,zero_lag_correlation,0.4261166654560046
1,block_shuffle_16,best_lag_correlation,0.486811549452278
1,block_shuffle_32,position_correlation,0.249345593083866
1,block_shuffle_32,position_cosine,0.3066458690619086
1,block_shuffle_32,normalized_position_rmse,1.1978835846407203
1,block_shuffle_32,velocity_direction_cosine,0.09308249037359242
1,block_shuffle_32,speed_profile_correlation,0.13556477780181078
1,block_shuffle_32,path_length_similarity,0.8540794656318755
1,block_shuffle_32,acceleration_direction_cosine,0.11823922403036552
1,block_shuffle_32,zero_lag_correlation,0.27558181820997063
1,block_shuffle_32,best_lag_correlation,0.2806924033391289
2,condition_shuffle,position_correlation,-0.12318462002969306
2,condition_shuffle,position_cosine,-0.14536698654520835
2,condition_shuffle,normalized_position_rmse,1.412869284029092
2,condition_shuffle,velocity_direction_cosine,-0.06793043684063862
2,condition_shuffle,speed_profile_correlation,-0.11257036724092373
2,condition_shuffle,path_length_similarity,0.9251762517532159
2,condition_shuffle,acceleration_direction_cosine,-0.06027637021061619
2,condition_shuffle,zero_lag_correlation,-0.0843709613986026
2,condition_shuffle,best_lag_correlation,-0.044012855144618834
2,circular_shift,position_correlation,0.11501904857078538
2,circular_shift,position_cosine,0.16912054639894722
2,circular_shift,normalized_position_rmse,1.2536477099601402
2,circular_shift,velocity_direction_cosine,-0.11696851216562412
2,circular_shift,speed_profile_correlation,0.18713471833024317
2,circular_shift,path_length_similarity,0.9007057959677401
2,circular_shift,acceleration_direction_cosine,-0.0965132364710883
2,circular_shift,zero_lag_correlation,0.1460286670426866
2,circular_shift,best_lag_correlation,0.2327614122667045
2,frame_shuffle,position_correlation,0.32372617687168015
2,frame_shuffle,position_cosine,0.35579203922840313
2,frame_shuffle,normalized_position_rmse,1.0099632312664606
2,frame_shuffle,velocity_direction_cosine,0.04837820053524461
2,frame_shuffle,speed_profile_correlation,0.22151226303984253
2,frame_shuffle,path_length_similarity,0.9334712928715571
2,frame_shuffle,acceleration_direction_cosine,0.043646913225747395
2,frame_shuffle,zero_lag_correlation,0.3547557892849823
2,frame_shuffle,best_lag_correlation,0.368752028726309
2,time_reversal,position_correlation,0.24985492438927875
2,time_reversal,position_cosine,0.2980071871792309
2,time_reversal,normalized_position_rmse,1.155884470681303
2,time_reversal,velocity_direction_cosine,0.12460388104974182
2,time_reversal,speed_profile_correlation,0.23445853132910943
2,time_reversal,path_length_similarity,0.8843256526689203
2,time_reversal,acceleration_direction_cosine,0.1204321935526866
2,time_reversal,zero_lag_correlation,0.2766902579603072
2,time_reversal,best_lag_correlation,0.27750352526569333
2,independent_neuron_shift,position_correlation,0.2882895652179836
2,independent_neuron_shift,position_cosine,0.3140660337280718
2,independent_neuron_shift,normalized_position_rmse,0.9974701483201033
2,independent_neuron_shift,velocity_direction_cosine,-0.11550674158655283
2,independent_neuron_shift,speed_profile_correlation,0.26132088914625434
2,independent_neuron_shift,path_length_similarity,0.49469616134387767
2,independent_neuron_shift,acceleration_direction_cosine,-0.09174045690006263
2,independent_neuron_shift,zero_lag_correlation,0.3299805182509563
2,independent_neuron_shift,best_lag_correlation,0.39490736042043617
2,block_shuffle_4,position_correlation,0.2556980055624376
2,block_shuffle_4,position_cosine,0.3011706354353212
2,block_shuffle_4,normalized_position_rmse,1.053008655031935
2,block_shuffle_4,velocity_direction_cosine,-0.012574602308623452
2,block_shuffle_4,speed_profile_correlation,0.20772046824989082
2,block_shuffle_4,path_length_similarity,0.9202191346447748
2,block_shuffle_4,acceleration_direction_cosine,0.018664475448718926
2,block_shuffle_4,zero_lag_correlation,0.2912091767454657
2,block_shuffle_4,best_lag_correlation,0.42033901600997714
2,block_shuffle_8,position_correlation,0.24192964244192283
2,block_shuffle_8,position_cosine,0.2976488716764419
2,block_shuffle_8,normalized_position_rmse,1.1001130021097187
2,block_shuffle_8,velocity_direction_cosine,0.039001292590421
2,block_shuffle_8,speed_profile_correlation,0.19205686360570276
2,block_shuffle_8,path_length_similarity,0.9460045867922359
2,block_shuffle_8,acceleration_direction_cosine,0.0011638818655028264
2,block_shuffle_8,zero_lag_correlation,0.2720718517110653
2,block_shuffle_8,best_lag_correlation,0.28757801142764094
2,block_shuffle_16,position_correlation,0.20795669276980042
2,block_shuffle_16,position_cosine,0.2497928017095927
2,block_shuffle_16,normalized_position_rmse,1.162947066236736
2,block_shuffle_16,velocity_direction_cosine,-0.011530114727555968
2,block_shuffle_16,speed_profile_correlation,0.2364514282531035
2,block_shuffle_16,path_length_similarity,0.990228150571607
2,block_shuffle_16,acceleration_direction_cosine,0.016643199922636496
2,block_shuffle_16,zero_lag_correlation,0.23727562621768014
2,block_shuffle_16,best_lag_correlation,0.2974379966684064
2,block_shuffle_32,position_correlation,0.2016476585581363
2,block_shuffle_32,position_cosine,0.23004844840020913
2,block_shuffle_32,normalized_position_rmse,1.178790562244969
2,block_shuffle_32,velocity_direction_cosine,0.08477401859944125
2,block_shuffle_32,speed_profile_correlation,0.27720438519238816
2,block_shuffle_32,path_length_similarity,0.9420833214168299
2,block_shuffle_32,acceleration_direction_cosine,0.10609323756849695
2,block_shuffle_32,zero_lag_correlation,0.23086930874201939
2,block_shuffle_32,best_lag_correlation,0.23480518185148538
3,condition_shuffle,position_correlation,-0.062491612680241775
3,condition_shuffle,position_cosine,-0.11414276311216442
3,condition_shuffle,normalized_position_rmse,1.4432403614822236
3,condition_shuffle,velocity_direction_cosine,-0.02448866854629283
3,condition_shuffle,speed_profile_correlation,-0.12693302459408137
3,condition_shuffle,path_length_similarity,0.8032898797087319
3,condition_shuffle,acceleration_direction_cosine,-0.06838118993856647
3,condition_shuffle,zero_lag_correlation,-0.028703998910727963
3,condition_shuffle,best_lag_correlation,-0.016940900907004865
3,circular_shift,position_correlation,0.1941857214552884
3,circular_shift,position_cosine,0.2419123816796956
3,circular_shift,normalized_position_rmse,1.254260470059573
3,circular_shift,velocity_direction_cosine,-0.007481314697394341
3,circular_shift,speed_profile_correlation,0.1960430806383528
3,circular_shift,path_length_similarity,0.9154097576857108
3,circular_shift,acceleration_direction_cosine,-0.00078441814580917
3,circular_shift,zero_lag_correlation,0.21986631723572048
3,circular_shift,best_lag_correlation,0.23096311249438822
3,frame_shuffle,position_correlation,0.379255367974018
3,frame_shuffle,position_cosine,0.4181602691009935
3,frame_shuffle,normalized_position_rmse,0.9846405737649353
3,frame_shuffle,velocity_direction_cosine,-0.013431037752197008
3,frame_shuffle,speed_profile_correlation,0.25541395754496554
3,frame_shuffle,path_length_similarity,0.9162028998293937
3,frame_shuffle,acceleration_direction_cosine,-0.04826650039878858
3,frame_shuffle,zero_lag_correlation,0.40062712290440683
3,frame_shuffle,best_lag_correlation,0.45925836395766423
3,time_reversal,position_correlation,0.29567108583020874
3,time_reversal,position_cosine,0.3367801153379491
3,time_reversal,normalized_position_rmse,1.1748595569320475
3,time_reversal,velocity_direction_cosine,0.12931320536529006
3,time_reversal,speed_profile_correlation,0.224486760590004
3,time_reversal,path_length_similarity,0.9256847748223989
3,time_reversal,acceleration_direction_cosine,0.11320180670865279
3,time_reversal,zero_lag_correlation,0.31810351648696805
3,time_reversal,best_lag_correlation,0.3193563230056885
3,independent_neuron_shift,position_correlation,0.42316884635287655
3,independent_neuron_shift,position_cosine,0.420934137219854
3,independent_neuron_shift,normalized_position_rmse,0.922249727252432
3,independent_neuron_shift,velocity_direction_cosine,0.012623388506937545
3,independent_neuron_shift,speed_profile_correlation,0.3536293938444871
3,independent_neuron_shift,path_length_similarity,0.6107234466278998
3,independent_neuron_shift,acceleration_direction_cosine,-0.009847557616106287
3,independent_neuron_shift,zero_lag_correlation,0.44941336303135704
3,independent_neuron_shift,best_lag_correlation,0.47853441963616933
3,block_shuffle_4,position_correlation,0.37541424841582505
3,block_shuffle_4,position_cosine,0.4038193910660563
3,block_shuffle_4,normalized_position_rmse,0.976955516256095
3,block_shuffle_4,velocity_direction_cosine,0.01726308839652352
3,block_shuffle_4,speed_profile_correlation,0.24099508484214646
3,block_shuffle_4,path_length_similarity,0.9563931383564233
3,block_shuffle_4,acceleration_direction_cosine,0.010943524222782256
3,block_shuffle_4,zero_lag_correlation,0.40251122570716985
3,block_shuffle_4,best_lag_correlation,0.41175414394307913
3,block_shuffle_8,position_correlation,0.26523299947689627
3,block_shuffle_8,position_cosine,0.3235033552665794
3,block_shuffle_8,normalized_position_rmse,1.1083246710580903
3,block_shuffle_8,velocity_direction_cosine,-0.02488579631956043
3,block_shuffle_8,speed_profile_correlation,0.3532711134663229
3,block_shuffle_8,path_length_similarity,0.8368523670866771
3,block_shuffle_8,acceleration_direction_cosine,-0.011952905919338112
3,block_shuffle_8,zero_lag_correlation,0.2927472963060961
3,block_shuffle_8,best_lag_correlation,0.39458115658838216
3,block_shuffle_16,position_correlation,0.3764624409067907
3,block_shuffle_16,position_cosine,0.36937178248973335
3,block_shuffle_16,normalized_position_rmse,1.0715385351221114
3,block_shuffle_16,velocity_direction_cosine,-0.002834576416660122
3,block_shuffle_16,speed_profile_correlation,0.29499221246742263
3,block_shuffle_16,path_length_similarity,0.7875666271618729
3,block_shuffle_16,acceleration_direction_cosine,-0.040016881590452184
3,block_shuffle_16,zero_lag_correlation,0.39775896397686006
3,block_shuffle_16,best_lag_correlation,0.3998671224334258
3,block_shuffle_32,position_correlation,0.3463966286616159
3,block_shuffle_32,position_cosine,0.3547044337349799
3,block_shuffle_32,normalized_position_rmse,1.1093997344829467
3,block_shuffle_32,velocity_direction_cosine,0.11198231046834603
3,block_shuffle_32,speed_profile_correlation,0.23006329991324131
3,block_shuffle_32,path_length_similarity,0.8485809253710155
3,block_shuffle_32,acceleration_direction_cosine,0.09748303548202766
3,block_shuffle_32,zero_lag_correlation,0.3680798271547964
3,block_shuffle_32,best_lag_correlation,0.39087190208449996
4,condition_shuffle,position_correlation,-0.11361193631071659
4,condition_shuffle,position_cosine,-0.08938749272029846
4,condition_shuffle,normalized_position_rmse,1.5702857883078776
4,condition_shuffle,velocity_direction_cosine,0.008449764884703028
4,condition_shuffle,speed_profile_correlation,-0.11117976986722546
4,condition_shuffle,path_length_similarity,0.7570144220318256
4,condition_shuffle,acceleration_direction_cosine,0.015112606346467772
4,condition_shuffle,zero_lag_correlation,-0.07950573429009451
4,condition_shuffle,best_lag_correlation,-0.05325930574215521
4,circular_shift,position_correlation,0.1961288789959304
4,circular_shift,position_cosine,0.20978601711188652
4,circular_shift,normalized_position_rmse,1.3305778384342075
4,circular_shift,velocity_direction_cosine,-0.0253999232071396
4,circular_shift,speed_profile_correlation,0.22221794474795056
4,circular_shift,path_length_similarity,0.9240771915957929
4,circular_shift,acceleration_direction_cosine,-0.012668680795410578
4,circular_shift,zero_lag_correlation,0.2209150796299198
4,circular_shift,best_lag_correlation,0.3388871453354463
4,frame_shuffle,position_correlation,0.3782952700217066
4,frame_shuffle,position_cosine,0.4181619781868893
4,frame_shuffle,normalized_position_rmse,1.039243424790282
4,frame_shuffle,velocity_direction_cosine,0.04274221333268159
4,frame_shuffle,speed_profile_correlation,0.20289018605682657
4,frame_shuffle,path_length_similarity,0.8446092763029387
4,frame_shuffle,acceleration_direction_cosine,0.035565216416643994
4,frame_shuffle,zero_lag_correlation,0.40315646081679024
4,frame_shuffle,best_lag_correlation,0.41903358941376256
4,time_reversal,position_correlation,0.29448497997451145
4,time_reversal,position_cosine,0.3422309720562203
4,time_reversal,normalized_position_rmse,1.2511539095348054
4,time_reversal,velocity_direction_cosine,0.11936813296033079
4,time_reversal,speed_profile_correlation,0.2304304954047687
4,time_reversal,path_length_similarity,0.928341831425567
4,time_reversal,acceleration_direction_cosine,0.11412389334689362
4,time_reversal,zero_lag_correlation,0.31635768494763106
4,time_reversal,best_lag_correlation,0.31696627032760594
4,independent_neuron_shift,position_correlation,0.3809450809817595
4,independent_neuron_shift,position_cosine,0.38201274606287566
4,independent_neuron_shift,normalized_position_rmse,0.9793849815972294
4,independent_neuron_shift,velocity_direction_cosine,0.015341392251725467
4,independent_neuron_shift,speed_profile_correlation,0.1133527719657941
4,independent_neuron_shift,path_length_similarity,0.5968660787336201
4,independent_neuron_shift,acceleration_direction_cosine,0.02536586874424373
4,independent_neuron_shift,zero_lag_correlation,0.407150504141563
4,independent_neuron_shift,best_lag_correlation,0.4445513725458328
4,block_shuffle_4,position_correlation,0.27690458503854115
4,block_shuffle_4,position_cosine,0.310486856518881
4,block_shuffle_4,normalized_position_rmse,1.1020194865150539
4,block_shuffle_4,velocity_direction_cosine,-0.08522085192720397
4,block_shuffle_4,speed_profile_correlation,0.314705356244104
4,block_shuffle_4,path_length_similarity,0.8919154040752026
4,block_shuffle_4,acceleration_direction_cosine,-0.04490949098407128
4,block_shuffle_4,zero_lag_correlation,0.3065574153867917
4,block_shuffle_4,best_lag_correlation,0.382340488946503
4,block_shuffle_8,position_correlation,0.2546320515376965
4,block_shuffle_8,position_cosine,0.3034246759356854
4,block_shuffle_8,normalized_position_rmse,1.1983686973577978
4,block_shuffle_8,velocity_direction_cosine,0.0032662910616600292
4,block_shuffle_8,speed_profile_correlation,0.1623065006383631
4,block_shuffle_8,path_length_similarity,0.784669489004554
4,block_shuffle_8,acceleration_direction_cosine,0.0184168756581457
4,block_shuffle_8,zero_lag_correlation,0.2808297163382091
4,block_shuffle_8,best_lag_correlation,0.31919924608417377
4,block_shuffle_16,position_correlation,0.24927183804643877
4,block_shuffle_16,position_cosine,0.33413954021014086
4,block_shuffle_16,normalized_position_rmse,1.2532470729393332
4,block_shuffle_16,velocity_direction_cosine,-0.04610292323980366
4,block_shuffle_16,speed_profile_correlation,0.1988517837138741
4,block_shuffle_16,path_length_similarity,0.7849114301360602
4,block_shuffle_16,acceleration_direction_cosine,-0.03656671137577665
4,block_shuffle_16,zero_lag_correlation,0.27374662112256537
4,block_shuffle_16,best_lag_correlation,0.37138481549163066
4,block_shuffle_32,position_correlation,0.21167220353343058
4,block_shuffle_32,position_cosine,0.2722783665043405
4,block_shuffle_32,normalized_position_rmse,1.3115911600806545
4,block_shuffle_32,velocity_direction_cosine,0.03614455493637551
4,block_shuffle_32,speed_profile_correlation,0.26453215891779397
4,block_shuffle_32,path_length_similarity,0.8608160306683751
4,block_shuffle_32,acceleration_direction_cosine,0.00695315794871511
4,block_shuffle_32,zero_lag_correlation,0.23632271933088206
4,block_shuffle_32,best_lag_correlation,0.2368300650223181
5,condition_shuffle,position_correlation,-0.13203346671645116
5,condition_shuffle,position_cosine,-0.12683797859974985
5,condition_shuffle,normalized_position_rmse,1.5636834306962468
5,condition_shuffle,velocity_direction_cosine,0.013220154963884836
5,condition_shuffle,speed_profile_correlation,0.11716278555980773
5,condition_shuffle,path_length_similarity,0.8854702421358158
5,condition_shuffle,acceleration_direction_cosine,0.017603094123875656
5,condition_shuffle,zero_lag_correlation,-0.0931660857405
5,condition_shuffle,best_lag_correlation,-0.07154716462434332
5,circular_shift,position_correlation,0.12847325381195895
5,circular_shift,position_cosine,0.17471536029003595
5,circular_shift,normalized_position_rmse,1.3660218054575184
5,circular_shift,velocity_direction_cosine,0.02589370482551666
5,circular_shift,speed_profile_correlation,0.20700499402903824
5,circular_shift,path_length_similarity,0.9281418324593447
5,circular_shift,acceleration_direction_cosine,0.0610101137858232
5,circular_shift,zero_lag_correlation,0.15834254306961196
5,circular_shift,best_lag_correlation,0.23732451075156263
5,frame_shuffle,position_correlation,0.270973465196981
5,frame_shuffle,position_cosine,0.32755661523313795
