metric,mean_oriented_advantage,ci_low,ci_high,probability_dynamic_better
acceleration_direction_cosine,0.2679343227224413,0.18216554777743904,0.33953193334586834,1.0
best_lag_correlation,0.19664266631698182,0.08622596336954624,0.37204942524539986,1.0
normalized_position_rmse,0.17663558511801483,0.07168526469818493,0.3457393070319815,1.0
path_length_similarity,0.14286535129291034,0.0779287008382269,0.21366032379069727,1.0
position_correlation,0.22379981280730712,0.08832824320925214,0.4512554344898262,1.0
position_cosine,0.3188742027868825,0.08730120972175205,0.5784757638367557,1.0
speed_profile_correlation,0.01083668929337277,-0.051260183399612726,0.08585519410897574,0.624
velocity_direction_cosine,0.194733265646566,0.13356836140617032,0.24860854230572613,1.0
zero_lag_correlation,0.19585403590782072,0.08257063450150781,0.3724223856784004,1.0
