held_family,candidates,gpfa_position_mae,gpfa_velocity_mae,gpfa_speed_mae,gpfa_acceleration_mae,gpfa_rmse_quality_mae
amplitude_noise,8,0.06436697574678112,0.11032183089629485,0.10701839265387353,0.09261952642571095,0.06055580755312899
block_permute,4,0.04194430380635797,0.11388160169770489,0.15453642143429688,0.056290379218872394,0.05101056948228416
gain,5,0.01703494394045124,0.048839776495190626,0.07981472877214284,0.018109034198441166,0.07573505223363444
kernel_ablation,4,0.2563772307994416,0.17786284025821147,0.07174201448062319,0.20713928661303666,0.10226084912641648
reverse,1,0.008588787264841163,0.033310048350256596,0.03790492646150717,0.0016872128515362447,0.05576049597022803
shift,7,0.08913232484043235,0.11324355898859464,0.044699338127024486,0.13209169802584528,0.059069913554817166
smooth,6,0.060689690242903514,0.07060986423389633,0.053379036973433214,0.11878702631454775,0.012952914197182919
time_mean_mix,5,0.03982713657083923,0.03903086708411923,0.08696830812536897,0.07470284861243262,0.06995051348493708
