split,metric,value
0,position_correlation,0.8988631842007597
0,position_cosine,0.8704043480621674
0,normalized_position_rmse,0.44958923271689627
0,velocity_direction_cosine,0.6491039008717719
0,speed_profile_correlation,0.8360500525986352
0,path_length_similarity,0.9984030500228943
0,acceleration_direction_cosine,0.5448210019590664
0,zero_lag_correlation,0.9025241213325415
0,best_lag_correlation,0.9025241213325415
1,position_correlation,0.8859045972931263
1,position_cosine,0.8519101050789638
1,normalized_position_rmse,0.4750771548691479
1,velocity_direction_cosine,0.6501680706339799
1,speed_profile_correlation,0.8000398571936388
1,path_length_similarity,0.8975949378381716
1,acceleration_direction_cosine,0.5639228926145442
1,zero_lag_correlation,0.889799720078552
1,best_lag_correlation,0.889799720078552
2,position_correlation,0.817749433792581
2,position_cosine,0.7871986958475586
2,normalized_position_rmse,0.5799084073933375
2,velocity_direction_cosine,0.6105504941856366
2,speed_profile_correlation,0.7118614789000672
2,path_length_similarity,0.8839817027280512
2,acceleration_direction_cosine,0.5497166253629611
2,zero_lag_correlation,0.826335258374258
2,best_lag_correlation,0.826335258374258
3,position_correlation,0.8958222166070005
3,position_cosine,0.866531485653952
3,normalized_position_rmse,0.45242975905668203
3,velocity_direction_cosine,0.6319293285944712
3,speed_profile_correlation,0.8231886089292637
3,path_length_similarity,0.9268299180948194
3,acceleration_direction_cosine,0.5627572040652539
3,zero_lag_correlation,0.8991144349112745
3,best_lag_correlation,0.8991144349112745
4,position_correlation,0.8715339301560685
4,position_cosine,0.8469332985341134
4,normalized_position_rmse,0.5450713831411437
4,velocity_direction_cosine,0.6423860081634207
4,speed_profile_correlation,0.7939156265706299
4,path_length_similarity,0.9284738550627224
4,acceleration_direction_cosine,0.569612938707382
4,zero_lag_correlation,0.8761212742615352
4,best_lag_correlation,0.8761212742615352
5,position_correlation,0.8686525978246448
5,position_cosine,0.8469020398878989
5,normalized_position_rmse,0.5406218971666139
5,velocity_direction_cosine,0.6601280722201444
5,speed_profile_correlation,0.7904215017947122
5,path_length_similarity,0.9440332990662191
5,acceleration_direction_cosine,0.5525184605586364
5,zero_lag_correlation,0.8740978508730545
5,best_lag_correlation,0.8740978508730545
6,position_correlation,0.8751158234203456
6,position_cosine,0.8391625626929842
6,normalized_position_rmse,0.48985710179702757
6,velocity_direction_cosine,0.6548593228823147
6,speed_profile_correlation,0.7641839350809361
6,path_length_similarity,0.9880226695330244
6,acceleration_direction_cosine,0.5699782558963066
6,zero_lag_correlation,0.8801288601986109
6,best_lag_correlation,0.8801288601986109
7,position_correlation,0.8451618607546342
7,position_cosine,0.8188288580003344
7,normalized_position_rmse,0.5439353438178861
7,velocity_direction_cosine,0.6178957403815529
7,speed_profile_correlation,0.7482775854815978
7,path_length_similarity,0.9205237514860606
7,acceleration_direction_cosine,0.5496644540177664
7,zero_lag_correlation,0.850854956924123
7,best_lag_correlation,0.850854956924123
8,position_correlation,0.8684867023354144
8,position_cosine,0.8201720403321193
8,normalized_position_rmse,0.49921046541215236
8,velocity_direction_cosine,0.6079709200621726
8,speed_profile_correlation,0.8140306530750838
8,path_length_similarity,0.9797186084461118
8,acceleration_direction_cosine,0.5576897231905091
8,zero_lag_correlation,0.8743214535860804
8,best_lag_correlation,0.8743214535860804
9,position_correlation,0.8875813640593146
9,position_cosine,0.8396951211913228
9,normalized_position_rmse,0.5402556337136188
9,velocity_direction_cosine,0.6297769994259307
9,speed_profile_correlation,0.8168679331426628
9,path_length_similarity,0.9345400236651247
9,acceleration_direction_cosine,0.5627894671308422
9,zero_lag_correlation,0.891273741948168
9,best_lag_correlation,0.891273741948168
10,position_correlation,0.8577040794085213
10,position_cosine,0.8362338788970516
10,normalized_position_rmse,0.5266117654272083
10,velocity_direction_cosine,0.6446643083340066
10,speed_profile_correlation,0.7501009155207398
10,path_length_similarity,0.9396455175584537
10,acceleration_direction_cosine,0.5542517985999369
10,zero_lag_correlation,0.862214908485049
10,best_lag_correlation,0.862214908485049
11,position_correlation,0.8507159711230831
11,position_cosine,0.8150208496612326
11,normalized_position_rmse,0.5266277751022195
11,velocity_direction_cosine,0.6435412767037316
11,speed_profile_correlation,0.7615301679741823
11,path_length_similarity,0.879874781942144
11,acceleration_direction_cosine,0.5647198538821867
11,zero_lag_correlation,0.859304683981057
11,best_lag_correlation,0.859304683981057
12,position_correlation,0.8578509813207953
12,position_cosine,0.8204054074270674
12,normalized_position_rmse,0.5345421804436993
12,velocity_direction_cosine,0.6780569029659624
12,speed_profile_correlation,0.7917492832586711
12,path_length_similarity,0.9562017489042504
12,acceleration_direction_cosine,0.5815129380661926
12,zero_lag_correlation,0.8621953817093608
12,best_lag_correlation,0.8621953817093608
13,position_correlation,0.858934865833499
13,position_cosine,0.7928912110952324
13,normalized_position_rmse,0.5263058206393859
13,velocity_direction_cosine,0.6466450614492838
13,speed_profile_correlation,0.8015847279732123
13,path_length_similarity,0.9821420926217814
13,acceleration_direction_cosine,0.5987049883451575
13,zero_lag_correlation,0.8640847767178519
13,best_lag_correlation,0.8640847767178519
14,position_correlation,0.8561472602740078
14,position_cosine,0.8350425055525432
14,normalized_position_rmse,0.531780724207673
14,velocity_direction_cosine,0.6587508343028149
14,speed_profile_correlation,0.7927605546213959
14,path_length_similarity,0.91668387174774
14,acceleration_direction_cosine,0.5732046508539835
